"peak_dt","flow","site_no"
1979-10-25,1090,14309500
1979-11-05,216,14309500
1979-11-24,1430,14309500
1979-12-03,1650,14309500
1979-12-21,1630,14309500
1979-12-31,1960,14309500
1980-01-13,3390,14309500
1980-02-03,149,14309500
1980-02-23,963,14309500
1980-03-14,2580,14309500
1980-04-01,277,14309500
1980-04-10,880,14309500
1980-04-22,484,14309500
1980-05-09,95.6,14309500
1980-05-25,95.6,14309500
1980-10-14,84,14309500
1980-11-08,358,14309500
1980-11-22,321,14309500
1980-12-02,4160,14309500
1980-12-16,198,14309500
1980-12-25,1990,14309500
1981-01-29,477,14309500
1981-02-14,834,14309500
1981-03-05,180,14309500
1981-03-23,173,14309500
1981-04-01,509,14309500
1981-04-12,426,14309500
1981-04-26,100,14309500
1981-05-19,103,14309500
1981-06-14,64,14309500
1981-09-27,103,14309500
1981-10-07,298,14309500
1981-10-28,964,14309500
1981-11-17,2640,14309500
1981-12-06,6860,14309500
1981-12-19,4230,14309500
1981-12-29,2100,14309500
1982-01-18,875,14309500
1982-01-26,1830,14309500
1982-02-14,2930,14309500
1982-03-01,2200,14309500
1982-03-09,451,14309500
1982-03-18,238,14309500
1982-04-03,716,14309500
1982-04-13,3390,14309500
1982-04-22,637,14309500
1982-10-26,995,14309500
1982-11-07,71.7,14309500
1982-11-19,1080,14309500
1982-12-04,1470,14309500
1982-12-16,4830,14309500
1983-01-04,404,14309500
1983-01-16,138,14309500
1983-01-26,3880,14309500
1983-02-10,2130,14309500
1983-02-18,7180,14309500
1983-02-27,1140,14309500
1983-03-13,1770,14309500
1983-03-30,4000,14309500
1983-04-25,196,14309500
1983-05-10,413,14309500
1983-06-01,67.4,14309500
1983-07-02,70.8,14309500
1983-08-30,70.8,14309500
1983-11-06,170,14309500
1983-11-17,2080,14309500
1983-12-03,348,14309500
1983-12-14,2120,14309500
1983-12-30,2050,14309500
1984-01-11,188,14309500
1984-01-26,170,14309500
1984-02-13,5560,14309500
1984-02-25,1640,14309500
1984-03-16,1500,14309500
1984-03-26,755,14309500
1984-04-10,1070,14309500
1984-05-02,349,14309500
1984-05-11,131,14309500
1984-05-23,76.4,14309500
1984-06-07,130,14309500
1984-10-11,73.8,14309500
1984-11-02,1470,14309500
1984-11-12,3570,14309500
1984-11-28,3930,14309500
1984-12-13,710,14309500
1984-12-30,459,14309500
1985-02-03,126,14309500
1985-02-12,1570,14309500
1985-03-06,140,14309500
1985-03-24,897,14309500
1985-04-01,1130,14309500
1985-04-23,169,14309500
1985-06-08,116,14309500
1985-10-23,125,14309500
1985-11-09,127,14309500
1985-11-17,173,14309500
1985-12-03,1350,14309500
1986-01-06,202,14309500
1986-01-23,1630,14309500
1986-02-03,1360,14309500
1986-02-19,3040,14309500
1986-03-13,1200,14309500
1986-03-24,400,14309500
1986-04-01,150,14309500
1986-04-17,208,14309500
1986-04-29,114,14309500
1986-05-07,578,14309500
1986-05-21,102,14309500
1986-09-18,75.7,14309500
1986-09-26,635,14309500
1986-10-30,242,14309500
1986-11-08,92.9,14309500
1986-11-28,2530,14309500
1986-12-15,102,14309500
1986-12-23,510,14309500
1987-01-01,1570,14309500
1987-01-15,301,14309500
1987-01-25,2110,14309500
1987-02-02,2800,14309500
1987-02-16,867,14309500
1987-03-03,779,14309500
1987-03-12,2530,14309500
1987-04-18,84.1,14309500
1987-05-02,68.1,14309500
1987-12-06,3250,14309500
1987-12-23,262,14309500
1987-12-31,156,14309500
1988-01-10,3300,14309500
1988-01-21,386,14309500
1988-01-30,474,14309500
1988-02-09,184,14309500
1988-03-01,74,14309500
1988-03-10,152,14309500
1988-03-24,136,14309500
1988-04-07,99,14309500
1988-04-22,152,14309500
1988-05-01,164,14309500
1988-05-09,148,14309500
1988-06-02,137,14309500
1988-06-10,193,14309500
1988-11-14,238,14309500
1988-11-22,2340,14309500
1988-12-22,459,14309500
1988-12-31,814,14309500
1989-01-10,3110,14309500
1989-01-22,618,14309500
1989-02-01,305,14309500
1989-02-14,141,14309500
1989-02-23,981,14309500
1989-03-10,1260,14309500
1989-03-18,1750,14309500
1989-04-03,378,14309500
1989-04-25,171,14309500
