"peak_dt","flow","site_no"
1982-08-01,5,12374250
1982-08-11,9,12374250
1982-11-19,6.4,12374250
1982-12-05,4.3,12374250
1983-01-09,6,12374250
1983-02-19,4.1,12374250
1983-02-28,4.4,12374250
1983-03-12,11,12374250
1983-04-03,6.8,12374250
1983-04-25,21,12374250
1983-05-09,20,12374250
1983-05-27,40,12374250
1983-06-18,11,12374250
1983-06-28,9.9,12374250
1983-07-14,8.5,12374250
1983-07-24,6,12374250
1983-08-11,9,12374250
1983-11-07,4.7,12374250
1983-12-11,3.8,12374250
1984-01-06,4.5,12374250
1984-01-26,5.7,12374250
1984-04-24,9.4,12374250
1984-05-02,7.6,12374250
1984-05-10,7.6,12374250
1984-05-23,19,12374250
1984-06-02,18,12374250
1984-06-21,22,12374250
1984-07-29,5,12374250
1984-08-06,4.1,12374250
1984-09-01,4.1,12374250
1984-11-03,4,12374250
1985-04-04,11,12374250
1985-04-16,42.9,12374250
1985-05-04,36.9,12374250
1985-05-25,27,12374250
1985-06-09,29,12374250
1985-08-16,4.38,12374250
1985-09-12,5.96,12374250
1985-10-16,4.1,12374250
1985-10-26,11,12374250
1985-11-07,13,12374250
1985-11-16,12,12374250
1985-11-26,5,12374250
1985-12-08,4.5,12374250
1985-12-17,5,12374250
1985-12-25,4,12374250
1986-01-07,4,12374250
1986-01-20,4.5,12374250
1986-02-02,4.5,12374250
1986-02-17,9.9,12374250
1986-02-26,70,12374250
1986-03-09,57,12374250
1986-03-23,25,12374250
1986-03-31,72,12374250
1986-04-12,42,12374250
1986-04-26,27,12374250
1986-05-08,32,12374250
1986-05-20,26,12374250
1986-05-29,32,12374250
1986-06-29,8.5,12374250
1986-07-09,5.7,12374250
1986-07-17,5,12374250
1986-08-31,4.7,12374250
1986-09-09,3.7,12374250
1986-09-18,5,12374250
1986-11-21,11,12374250
1986-12-04,4,12374250
1987-03-14,14,12374250
1987-03-31,7.6,12374250
1987-04-09,21,12374250
1987-04-18,25,12374250
1987-05-02,38,12374250
1987-05-31,8.1,12374250
1987-06-08,6.4,12374250
1987-06-16,5.3,12374250
1987-07-22,5,12374250
1988-03-27,7.9,12374250
1988-04-08,9.3,12374250
1988-04-18,17,12374250
1988-05-05,13,12374250
1988-05-15,17,12374250
1988-05-31,13,12374250
1988-06-17,7.9,12374250
1988-06-27,6,12374250
1988-07-05,4,12374250
1988-07-14,4.7,12374250
1988-11-03,3.6,12374250
1988-11-23,3.8,12374250
1988-12-13,5.5,12374250
1989-03-29,5,12374250
1989-04-08,40,12374250
1989-04-22,60,12374250
1989-05-10,56,12374250
1989-05-18,21,12374250
1989-05-28,17,12374250
1989-06-07,18,12374250
1989-07-01,6.9,12374250
1989-07-13,7.9,12374250
1989-08-25,5.7,12374250
1989-09-18,3.6,12374250
1989-11-04,3.6,12374250
1989-11-12,9.6,12374250
1989-11-24,7.7,12374250
1989-12-05,11,12374250
1989-12-20,6.4,12374250
1990-01-01,4.4,12374250
1990-01-10,34,12374250
1990-01-20,9.8,12374250
1990-01-28,7.5,12374250
1990-02-12,6.4,12374250
1990-02-21,6.1,12374250
1990-03-10,9.8,12374250
1990-03-22,15,12374250
1990-04-04,47,12374250
1990-04-22,43,12374250
1990-05-08,29,12374250
1990-06-01,28,12374250
1990-06-12,21,12374250
1990-07-03,10,12374250
1990-07-25,8,12374250
1990-08-21,4,12374250
1990-10-16,4.4,12374250
1990-11-10,3.9,12374250
1990-11-25,16,12374250
1990-12-11,5.6,12374250
1990-12-25,4,12374250
1991-01-12,5,12374250
1991-02-06,5,12374250
1991-02-21,12,12374250
1991-03-05,9,12374250
1991-03-25,7.5,12374250
1991-04-05,50,12374250
1991-04-24,65,12374250
1991-05-10,43,12374250
1991-05-20,83,12374250
1991-06-07,42,12374250
1991-06-24,26,12374250
1991-08-06,7.4,12374250
1991-11-20,3.8,12374250
1991-12-06,5.1,12374250
1992-01-05,4.4,12374250
1992-01-29,4.2,12374250
1992-02-23,3.6,12374250
1992-03-08,5.1,12374250
1992-03-19,8.5,12374250
1992-03-28,7,12374250
1992-04-05,8.9,12374250
1992-04-20,13,12374250
1992-05-02,15,12374250
1992-05-10,17,12374250
1992-05-20,9.7,12374250
1992-06-13,10,12374250
1992-06-26,4,12374250
1992-07-04,4.6,12374250
1992-07-24,3.8,12374250
1992-08-23,4.1,12374250
1993-03-28,7,12374250
1993-04-05,8.8,12374250
1993-04-18,6.6,12374250
1993-04-27,8.4,12374250
1993-05-06,12,12374250
1993-05-16,28,12374250
1993-06-25,4.6,12374250
1993-07-03,6.3,12374250
1993-07-11,4.7,12374250
1993-07-26,4.7,12374250
1993-08-09,3.8,12374250
1993-08-21,7.3,12374250
1993-08-29,4,12374250
1994-03-19,4.7,12374250
1994-04-04,8.1,12374250
1994-04-15,8.5,12374250
1994-04-25,21,12374250
1994-05-13,14,12374250
1994-06-27,4.2,12374250
1994-11-01,5.7,12374250
1994-12-01,4,12374250
1995-01-17,3.7,12374250
1995-02-02,7.5,12374250
1995-02-21,14,12374250
1995-03-04,9,12374250
1995-03-16,12,12374250
1995-04-08,11,12374250
1995-05-02,12,12374250
1995-05-13,26,12374250
1995-06-07,20,12374250
1995-07-10,7.1,12374250
1995-07-31,4.3,12374250
1995-08-08,3.7,12374250
1995-08-17,4.1,12374250
1995-09-08,3.7,12374250
1995-10-04,3.7,12374250
1995-10-12,6.1,12374250
1995-10-27,3.7,12374250
1995-11-09,4.2,12374250
1995-11-17,4.8,12374250
1995-12-01,30,12374250
1995-12-14,28,12374250
1996-01-10,9,12374250
1996-01-20,8,12374250
1996-02-09,35,12374250
1996-02-19,15,12374250
1996-03-02,12,12374250
1996-03-16,16,12374250
1996-03-26,13,12374250
1996-04-09,96,12374250
1996-04-25,62,12374250
1996-05-19,67,12374250
1996-05-30,47,12374250
1996-06-22,19,12374250
1996-07-31,6.4,12374250
1996-09-14,5.4,12374250
1996-11-01,4,12374250
1997-01-31,4,12374250
1997-02-19,3.7,12374250
1997-03-08,4,12374250
1997-03-17,8.8,12374250
1997-03-27,54,12374250
1997-04-28,155,12374250
1997-05-07,81,12374250
1997-05-16,143,12374250
1997-05-27,92,12374250
1997-06-11,44,12374250
1997-06-29,18,12374250
1997-07-30,9.1,12374250
1997-08-16,7.4,12374250
1997-08-25,6,12374250
1997-09-03,4.3,12374250
1997-09-12,3.8,12374250
1997-10-31,7,12374250
1997-11-18,3.6,12374250
1998-01-15,4.1,12374250
1998-03-17,3.7,12374250
1998-03-26,9.2,12374250
1998-04-07,10,12374250
1998-04-25,18,12374250
1998-05-05,23,12374250
1998-05-29,27,12374250
1998-06-14,16,12374250
1998-07-05,9.6,12374250
1998-08-01,5.2,12374250
1998-11-14,3.6,12374250
1998-11-22,5,12374250
1998-12-02,5.4,12374250
1999-01-15,6.4,12374250
1999-01-28,3.6,12374250
1999-03-16,3.6,12374250
1999-03-26,15,12374250
1999-04-27,36,12374250
1999-05-26,52,12374250
1999-06-19,20,12374250
1999-07-16,5.9,12374250
1999-07-25,4.6,12374250
1999-08-04,3.9,12374250
1999-08-12,3.6,12374250
1999-10-09,4.1,12374250
1999-11-04,4.6,12374250
1999-11-13,8,12374250
1999-11-26,8.5,12374250
1999-12-14,3.8,12374250
2000-02-24,3.7,12374250
2000-03-07,4.2,12374250
2000-03-20,4.2,12374250
2000-03-29,8.8,12374250
2000-04-06,16,12374250
2000-04-14,33,12374250
2000-04-23,52,12374250
2000-05-05,36,12374250
2000-05-22,22,12374250
2000-05-31,27,12374250
2000-07-04,7.7,12374250
2000-10-01,3.8,12374250
2001-03-20,3.7,12374250
2001-04-08,4.1,12374250
2001-04-19,4.5,12374250
2001-04-29,15,12374250
2001-05-16,19,12374250
2001-05-26,14,12374250
2001-06-15,6.4,12374250
2001-06-25,4.6,12374250
2002-02-23,3.54,12374250
2002-03-13,4.74,12374250
2002-04-02,5.4,12374250
2002-04-14,49.5,12374250
2002-04-24,19.7,12374250
2002-05-04,27,12374250
2002-05-23,118,12374250
2002-05-31,56.4,12374250
2002-06-19,23.9,12374250
2002-07-14,5.9,12374250
2002-11-06,3.94,12374250
2002-12-28,3.64,12374250
2003-02-01,5.07,12374250
2003-03-14,3.9,12374250
2003-03-23,5.4,12374250
2003-04-01,9.57,12374250
2003-04-14,14.5,12374250
2003-04-26,19.4,12374250
2003-05-07,14.8,12374250
2003-05-18,14,12374250
2003-05-31,20.1,12374250
2003-06-20,7.41,12374250
2003-07-08,4.24,12374250
2004-03-10,3.9,12374250
2004-03-19,6.91,12374250
2004-04-01,6.05,12374250
2004-04-16,10.8,12374250
2004-05-11,14.9,12374250
2004-05-31,24.8,12374250
2004-06-26,6.74,12374250
2004-07-04,5.6,12374250
2004-07-20,4.54,12374250
2004-08-20,3.99,12374250
2004-12-13,11,12374250
2005-01-20,10.3,12374250
2005-03-28,4.18,12374250
2005-04-08,3.93,12374250
2005-04-19,4.65,12374250
2005-04-30,8.95,12374250
2005-05-08,8.71,12374250
2005-05-19,11.1,12374250
2005-06-09,8.4,12374250
2005-06-17,7.25,12374250
2005-06-28,6,12374250
2005-07-11,4.2,12374250
2006-03-26,3.89,12374250
2006-04-07,32.3,12374250
2006-04-15,28.7,12374250
2006-04-23,25,12374250
2006-05-01,41.4,12374250
2006-05-20,41,12374250
2006-05-28,27.6,12374250
2006-06-08,15.1,12374250
2006-06-17,12.1,12374250
2006-06-30,7.49,12374250
2006-09-16,3.58,12374250
2006-11-07,5.05,12374250
2007-02-09,4.15,12374250
2007-03-13,20.6,12374250
2007-03-27,14.5,12374250
2007-04-19,10.1,12374250
2007-05-05,17.8,12374250
2007-05-15,16.8,12374250
2007-05-28,10.2,12374250
2007-06-06,7.47,12374250
2007-06-18,5.69,12374250
2007-12-03,4,12374250
2008-03-12,4.43,12374250
2008-03-24,3.74,12374250
2008-04-15,23.3,12374250
2008-04-29,34,12374250
2008-05-07,129,12374250
2008-05-18,160,12374250
2008-05-29,40.2,12374250
2008-06-14,31.7,12374250
2008-07-02,15.1,12374250
2008-07-23,6.69,12374250
2008-08-02,4.73,12374250
2008-08-21,5.56,12374250
2008-09-02,3.77,12374250
2008-09-10,3.7,12374250
2008-09-22,5.96,12374250
2008-10-05,3.51,12374250
2008-11-13,21.3,12374250
2008-11-25,11.2,12374250
2008-12-07,7.1,12374250
2008-12-20,5.84,12374250
2008-12-28,5.19,12374250
2009-01-09,45,12374250
2009-01-31,5.58,12374250
2009-02-09,4.76,12374250
2009-02-26,5.43,12374250
2009-03-09,9.76,12374250
2009-03-23,26.7,12374250
2009-04-03,15.7,12374250
2009-04-14,92.6,12374250
2009-04-22,137,12374250
2009-05-08,33.3,12374250
2009-05-20,58.5,12374250
2009-06-06,17.9,12374250
2009-06-18,9.63,12374250
2009-07-14,6.41,12374250
2009-07-29,4.04,12374250
2009-08-07,6.38,12374250
2009-08-16,3.95,12374250
2009-10-18,4.55,12374250
2009-11-07,5.41,12374250
2009-11-17,4.25,12374250
2009-11-27,4.17,12374250
2010-03-13,4.45,12374250
2010-03-22,5.67,12374250
2010-03-30,17,12374250
2010-04-10,10.4,12374250
2010-04-22,53.6,12374250
2010-05-03,26.8,12374250
2010-05-19,33.7,12374250
2010-05-27,21.3,12374250
2010-06-07,30,12374250
2010-06-18,47.5,12374250
2010-07-02,20.6,12374250
2010-07-23,8.4,12374250
2010-08-01,6.56,12374250
2010-08-13,7.09,12374250
2010-08-29,5.07,12374250
2010-09-09,4.46,12374250
2010-09-17,5.98,12374250
2010-10-04,3.93,12374250
2010-11-02,3.58,12374250
2010-11-16,4.8,12374250
2010-12-24,8,12374250
2011-01-08,5.3,12374250
2011-01-16,11,12374250
2011-01-27,9,12374250
2011-02-05,17,12374250
2011-02-15,19,12374250
2011-03-01,17,12374250
2011-03-17,22.3,12374250
2011-04-02,132,12374250
2011-04-17,62.8,12374250
2011-04-28,56.4,12374250
2011-05-15,139,12374250
2011-06-09,148,12374250
2011-06-23,31.4,12374250
2011-07-13,13.5,12374250
2011-07-22,9.76,12374250
2011-08-08,5.76,12374250
2011-08-24,4.14,12374250
2011-09-01,4.21,12374250
2011-09-19,5.92,12374250
2011-10-06,6.42,12374250
2011-10-15,4.97,12374250
2011-10-23,4,12374250
2011-10-31,4.6,12374250
2011-11-08,4.19,12374250
2011-11-23,6.51,12374250
2011-12-02,4.5,12374250
2011-12-13,4.13,12374250
2011-12-29,4,12374250
2012-02-26,3.83,12374250
2012-03-08,9.91,12374250
2012-03-17,18.7,12374250
2012-03-31,86.4,12374250
2012-04-13,109,12374250
2012-04-25,200,12374250
2012-05-17,56.2,12374250
