"peak_dt","flow","site_no"
1979-12-05,363,12414900
1979-12-18,271,12414900
1980-01-16,532,12414900
1980-02-04,338,12414900
1980-02-21,723,12414900
1980-02-29,908,12414900
1980-03-15,683,12414900
1980-03-23,338,12414900
1980-04-06,344,12414900
1980-04-15,833,12414900
1980-04-29,695,12414900
1980-05-07,481,12414900
1980-05-16,352,12414900
1980-05-26,1330,12414900
1980-06-13,1040,12414900
1980-06-27,253,12414900
1980-07-15,176,12414900
1980-11-08,237,12414900
1980-11-22,294,12414900
1980-12-04,415,12414900
1980-12-26,3230,12414900
1981-01-07,326,12414900
1981-01-24,759,12414900
1981-02-04,200,12414900
1981-02-17,3230,12414900
1981-02-25,741,12414900
1981-03-05,351,12414900
1981-03-17,337,12414900
1981-04-01,1200,12414900
1981-04-12,641,12414900
1981-05-01,988,12414900
1981-05-12,404,12414900
1981-05-22,662,12414900
1981-05-31,440,12414900
1981-06-09,662,12414900
1981-06-19,575,12414900
1981-07-07,390,12414900
1981-11-18,264,12414900
1981-12-06,1170,12414900
1981-12-20,404,12414900
1982-01-26,900,12414900
1982-02-21,5500,12414900
1982-03-02,1580,12414900
1982-03-10,2390,12414900
1982-03-28,1100,12414900
1982-04-12,3290,12414900
1982-04-29,1690,12414900
1982-05-08,1100,12414900
1982-05-18,1280,12414900
1982-05-26,862,12414900
1982-06-05,562,12414900
1982-06-14,404,12414900
1982-07-02,252,12414900
1982-07-14,176,12414900
1982-11-06,253,12414900
1982-11-19,267,12414900
1982-12-04,812,12414900
1982-12-22,648,12414900
1983-01-08,1620,12414900
1983-01-27,925,12414900
1983-02-19,2890,12414900
1983-03-06,1920,12414900
1983-03-14,1500,12414900
1983-03-30,1700,12414900
1983-04-25,802,12414900
1983-05-08,891,12414900
1983-05-27,555,12414900
1983-06-11,325,12414900
1983-06-28,428,12414900
1983-07-14,241,12414900
1983-09-11,183,12414900
1983-11-07,267,12414900
1983-11-17,627,12414900
1983-11-25,301,12414900
