"peak_dt","flow","site_no"
1995-11-14,662,14020850
1995-11-28,6000,14020850
1995-12-13,2300,14020850
1996-01-01,1460,14020850
1996-01-10,1940,14020850
1996-01-21,926,14020850
1996-02-09,11700,14020850
1996-02-19,4830,14020850
1996-03-12,2550,14020850
1996-04-09,1170,14020850
1996-04-24,6830,14020850
1996-05-19,1440,14020850
1996-11-20,1290,14020850
1996-11-29,1020,14020850
1996-12-10,2320,14020850
1997-01-01,8450,14020850
1997-01-12,988,14020850
1997-01-22,542,14020850
1997-02-01,5390,14020850
1997-02-20,1790,14020850
1997-03-03,954,14020850
1997-03-11,3370,14020850
1997-03-20,4460,14020850
1997-04-10,871,14020850
1997-04-20,4030,14020850
1997-05-06,1330,14020850
1997-06-01,409,14020850
1997-06-12,249,14020850
1997-10-31,247,14020850
1997-11-26,353,14020850
1997-12-17,1020,14020850
1998-01-04,404,14020850
1998-01-19,1460,14020850
1998-01-28,1410,14020850
1998-02-05,1040,14020850
1998-02-16,527,14020850
1998-03-05,642,14020850
1998-03-15,1220,14020850
1998-03-24,2560,14020850
1998-04-12,585,14020850
1998-04-24,1280,14020850
1998-05-09,555,14020850
1998-05-18,1570,14020850
1998-05-27,2600,14020850
1998-06-16,243,14020850
1998-11-22,1210,14020850
1998-12-03,2360,14020850
1998-12-14,1010,14020850
1998-12-30,4690,14020850
1999-01-16,2610,14020850
1999-02-09,387,14020850
1999-02-19,718,14020850
1999-03-01,3690,14020850
1999-03-16,1090,14020850
1999-03-26,2420,14020850
1999-04-03,748,14020850
1999-04-19,1980,14020850
1999-05-07,1060,14020850
1999-05-25,1210,14020850
1999-11-26,1470,14020850
1999-12-07,382,14020850
1999-12-18,2220,14020850
2000-01-05,409,14020850
2000-01-17,1040,14020850
2000-01-27,519,14020850
2000-02-15,2090,14020850
2000-02-28,2000,14020850
2000-03-11,1470,14020850
2000-03-24,2050,14020850
2000-04-05,2160,14020850
2000-04-14,2140,14020850
2000-04-22,1220,14020850
2000-05-03,715,14020850
2000-05-15,717,14020850
2000-06-01,895,14020850
2000-06-13,639,14020850
2000-10-01,260,14020850
2000-11-09,314,14020850
2000-11-29,261,14020850
2000-12-25,500,14020850
2001-01-15,257,14020850
2001-01-23,327,14020850
2001-02-06,674,14020850
2001-02-25,361,14020850
2001-03-09,904,14020850
2001-03-26,1600,14020850
2001-04-12,1520,14020850
2001-04-28,1650,14020850
2001-05-15,739,14020850
2001-11-23,468,14020850
2001-12-04,357,14020850
2001-12-14,1070,14020850
2002-01-09,1750,14020850
2002-01-26,631,14020850
2002-02-09,341,14020850
2002-02-24,3910,14020850
2002-03-13,1170,14020850
2002-03-25,3260,14020850
2002-04-06,2100,14020850
2002-04-14,5610,14020850
2002-04-23,1180,14020850
2002-05-03,1210,14020850
2002-05-20,939,14020850
2002-05-29,732,14020850
2002-06-10,297,14020850
2003-01-05,856,14020850
2003-01-16,325,14020850
2003-01-31,5300,14020850
2003-02-23,1170,14020850
2003-03-14,4000,14020850
2003-03-23,3000,14020850
2003-04-01,1630,14020850
2003-04-10,1490,14020850
2003-04-28,1240,14020850
2003-05-15,885,14020850
2003-05-25,556,14020850
2003-11-30,450,14020850
2003-12-14,1480,14020850
2003-12-25,511,14020850
2004-01-17,932,14020850
2004-01-30,5320,14020850
2004-02-19,1390,14020850
2004-02-27,925,14020850
2004-03-10,2140,14020850
2004-03-19,2400,14020850
2004-03-31,1770,14020850
2004-04-13,1160,14020850
2004-04-23,1250,14020850
2004-05-03,1070,14020850
2004-05-13,1430,14020850
2004-05-21,1460,14020850
2004-05-29,3980,14020850
2004-06-11,1530,14020850
2004-11-26,401,14020850
2004-12-12,1050,14020850
2005-01-19,951,14020850
2005-02-05,239,14020850
2005-03-28,2540,14020850
2005-04-05,864,14020850
2005-04-19,558,14020850
2005-05-08,472,14020850
2005-05-17,1920,14020850
2005-12-23,528,14020850
2006-01-01,2890,14020850
2006-01-18,2310,14020850
2006-02-05,1820,14020850
2006-02-14,512,14020850
2006-03-01,2250,14020850
2006-03-09,803,14020850
2006-03-26,1940,14020850
2006-04-06,6690,14020850
2006-04-14,3450,14020850
2006-04-30,1680,14020850
2006-05-17,867,14020850
2006-05-26,535,14020850
2006-06-05,1480,14020850
2006-06-15,757,14020850
2006-11-08,754,14020850
2006-11-17,709,14020850
2006-11-25,1060,14020850
2006-12-15,3160,14020850
2006-12-27,1090,14020850
2007-01-04,1410,14020850
2007-02-16,2460,14020850
2007-03-13,1950,14020850
2007-03-28,1040,14020850
2007-04-09,909,14020850
2007-04-18,589,14020850
2007-05-03,538,14020850
2007-12-04,1610,14020850
2007-12-25,794,14020850
2008-01-05,421,14020850
2008-01-13,626,14020850
2008-02-03,259,14020850
2008-02-13,869,14020850
2008-02-22,693,14020850
2008-03-01,1370,14020850
2008-03-19,1830,14020850
2008-04-05,693,14020850
2008-04-14,3440,14020850
2008-04-24,1050,14020850
2008-05-06,2950,14020850
2008-05-18,3000,14020850
2008-05-30,1730,14020850
2008-06-13,2320,14020850
2008-11-14,264,14020850
2008-12-17,236,14020850
2008-12-30,1050,14020850
2009-01-08,3640,14020850
2009-02-09,579,14020850
2009-03-04,1010,14020850
2009-03-17,1130,14020850
2009-03-29,3640,14020850
2009-04-08,2830,14020850
2009-04-22,3650,14020850
2009-05-07,3960,14020850
2009-05-18,1620,14020850
2009-06-04,433,14020850
2009-06-15,235,14020850
2009-12-22,465,14020850
2010-01-06,1160,14020850
2010-01-15,508,14020850
2010-01-23,353,14020850
2010-02-03,414,14020850
2010-02-18,599,14020850
2010-03-05,483,14020850
2010-03-23,456,14020850
2010-03-31,830,14020850
2010-04-09,744,14020850
2010-04-21,1580,14020850
2010-05-04,1510,14020850
2010-05-12,1250,14020850
2010-05-20,1070,14020850
2010-06-03,4700,14020850
2010-12-04,271,14020850
2010-12-14,2600,14020850
2010-12-29,1740,14020850
2011-01-09,486,14020850
2011-01-17,10300,14020850
2011-02-08,817,14020850
2011-02-17,1100,14020850
2011-03-06,864,14020850
2011-03-16,1990,14020850
2011-04-02,4810,14020850
2011-04-17,6690,14020850
2011-04-26,1390,14020850
2011-05-08,1790,14020850
2011-05-17,4830,14020850
2011-06-03,3030,14020850
2011-06-19,789,14020850
2011-12-31,1300,14020850
2012-01-21,2320,14020850
2012-01-31,790,14020850
2012-02-13,439,14020850
2012-02-23,3360,14020850
2012-03-06,575,14020850
2012-03-17,2230,14020850
2012-04-01,2090,14020850
2012-04-12,1490,14020850
2012-04-24,2170,14020850
2012-05-04,1370,14020850
2012-05-15,566,14020850
2012-05-23,405,14020850
2012-06-10,720,14020850
2012-06-27,237,14020850
2012-10-30,408,14020850
2012-11-22,634,14020850
2012-12-05,1110,14020850
2013-01-10,424,14020850
2013-02-01,1010,14020850
2013-02-18,490,14020850
2013-03-03,1460,14020850
2013-03-16,1610,14020850
2013-04-08,1820,14020850
2013-04-20,6410,14020850
2013-05-07,736,14020850
2013-05-22,264,14020850
2013-05-31,385,14020850
2013-06-27,316,14020850
2013-11-09,267,14020850
2013-11-21,551,14020850
2013-12-03,1610,14020850
2013-12-24,1990,14020850
