"peak_dt","flow","site_no"
1979-10-19,125,14138800
1979-10-27,66,14138800
1979-11-05,39,14138800
1979-11-24,69,14138800
1979-12-04,445,14138800
1979-12-15,164,14138800
1980-01-05,132,14138800
1980-01-13,470,14138800
1980-02-02,297,14138800
1980-02-26,220,14138800
1980-03-22,45,14138800
1980-04-06,64,14138800
1980-04-15,195,14138800
1980-04-28,116,14138800
1980-05-10,40,14138800
1980-05-26,134,14138800
1980-06-03,87,14138800
1980-06-13,56,14138800
1980-09-20,43,14138800
1980-11-08,213,14138800
1980-11-22,130,14138800
1980-12-03,505,14138800
1980-12-17,49,14138800
1980-12-25,813,14138800
1981-01-26,43,14138800
1981-02-18,450,14138800
1981-03-31,200,14138800
1981-04-08,150,14138800
1981-04-22,260,14138800
1981-05-07,84,14138800
1981-05-15,61,14138800
1981-05-25,82,14138800
1981-06-08,439,14138800
1981-06-19,242,14138800
1981-07-07,31,14138800
1981-10-09,119,14138800
1981-10-31,43.9,14138800
1981-11-12,34.6,14138800
1981-11-22,118,14138800
1981-12-02,656,14138800
1981-12-15,431,14138800
1981-12-25,115,14138800
1982-01-23,801,14138800
1982-01-31,72,14138800
1982-02-20,717,14138800
1982-03-01,52.1,14138800
1982-03-11,171,14138800
1982-03-27,36.6,14138800
1982-04-12,136,14138800
1982-04-28,119,14138800
1982-05-07,96.2,14138800
1982-05-17,99.6,14138800
1982-05-25,92.3,14138800
1982-06-06,56.5,14138800
1982-09-20,60.6,14138800
1982-10-08,93.8,14138800
1982-10-17,35.6,14138800
1982-10-29,425,14138800
1982-11-06,169,14138800
1982-11-18,185,14138800
1982-12-03,632,14138800
1982-12-16,238,14138800
1983-01-06,932,14138800
1983-01-19,53.2,14138800
1983-01-27,60.2,14138800
1983-02-17,384,14138800
1983-03-09,233,14138800
1983-03-30,491,14138800
1983-04-24,32.3,14138800
1983-05-15,144,14138800
1983-06-10,32.6,14138800
1983-06-19,85.2,14138800
1983-07-02,76.9,14138800
1983-07-14,106,14138800
1983-09-11,68.6,14138800
1983-10-22,49.8,14138800
1983-11-06,266,14138800
1983-11-24,238,14138800
1983-12-13,200,14138800
1984-01-03,612,14138800
1984-01-11,111,14138800
1984-01-24,569,14138800
1984-02-13,418,14138800
1984-02-21,57.4,14138800
1984-03-02,85.7,14138800
1984-03-21,263,14138800
1984-04-08,117,14138800
1984-04-20,69.7,14138800
1984-05-02,187,14138800
1984-05-11,105,14138800
1984-05-23,149,14138800
1984-06-08,124,14138800
1984-06-21,78.6,14138800
1984-06-29,33.4,14138800
1984-09-07,44.5,14138800
1984-10-14,109,14138800
1984-10-26,234,14138800
1984-11-03,602,14138800
1984-11-13,189,14138800
1984-11-28,208,14138800
1984-12-10,134,14138800
1984-12-23,214,14138800
1985-01-20,31.3,14138800
1985-02-15,65,14138800
1985-02-24,88.8,14138800
1985-03-23,83.7,14138800
1985-04-01,225,14138800
1985-04-10,171,14138800
1985-04-23,120,14138800
1985-05-03,152,14138800
1985-05-17,128,14138800
1985-05-30,110,14138800
1985-06-07,374,14138800
1985-08-08,39.9,14138800
1985-09-06,56.5,14138800
1985-09-17,102,14138800
1985-10-12,29.1,14138800
1985-10-25,353,14138800
1985-11-07,653,14138800
1985-11-16,145,14138800
1985-12-07,97.1,14138800
1985-12-24,55.9,14138800
1986-01-01,80.5,14138800
1986-01-10,108,14138800
1986-01-19,234,14138800
1986-01-30,133,14138800
1986-02-13,31.4,14138800
1986-02-23,1140,14138800
1986-03-07,154,14138800
1986-03-24,96.5,14138800
1986-04-17,77.8,14138800
1986-04-27,170,14138800
1986-05-05,66.5,14138800
1986-05-13,145,14138800
1986-05-22,63.4,14138800
1986-09-26,105,14138800
1986-10-27,40.6,14138800
1986-11-07,95,14138800
1986-11-17,276,14138800
1986-11-27,425,14138800
1986-12-05,32.7,14138800
1986-12-14,30.3,14138800
1986-12-23,53.8,14138800
1987-01-01,112,14138800
1987-02-01,438,14138800
1987-02-17,113,14138800
1987-03-03,178,14138800
1987-03-14,164,14138800
