"peak_dt","flow","site_no"
1979-10-03,69,9355000
1979-10-21,99,9355000
1980-01-15,88,9355000
1980-01-30,29,9355000
1980-02-20,329,9355000
1980-03-01,82,9355000
1980-03-16,55,9355000
1980-04-11,39,9355000
1980-04-22,64,9355000
1980-04-30,61,9355000
1980-05-15,62,9355000
1980-05-23,55,9355000
1980-06-07,64,9355000
1980-06-21,66,9355000
1980-07-03,69,9355000
1980-07-13,76,9355000
1980-07-25,74,9355000
1980-08-03,72,9355000
1980-08-15,98,9355000
1980-08-25,109,9355000
1980-09-10,181,9355000
1980-09-28,59,9355000
1980-10-06,55,9355000
1980-10-15,82,9355000
1980-10-28,20,9355000
1981-04-28,36,9355000
1981-05-09,23,9355000
1981-05-17,71,9355000
1981-05-31,133,9355000
1981-06-09,66,9355000
1981-06-21,62,9355000
1981-07-01,130,9355000
1981-07-12,90,9355000
1981-07-24,82,9355000
1981-08-01,96,9355000
1981-08-11,98,9355000
1981-08-23,76,9355000
1981-09-06,100,9355000
1981-09-15,71,9355000
1981-09-24,80,9355000
1981-10-03,213,9355000
1981-10-13,60,9355000
1982-03-03,176,9355000
1982-03-12,96,9355000
1982-04-21,34,9355000
1982-05-01,33,9355000
1982-05-13,43,9355000
1982-05-28,62,9355000
1982-06-11,69,9355000
1982-06-21,62,9355000
1982-07-01,67,9355000
1982-07-09,64,9355000
1982-07-18,74,9355000
1982-07-28,98,9355000
1982-08-13,110,9355000
1982-08-25,140,9355000
1982-09-05,60,9355000
1982-09-14,181,9355000
1982-09-23,39,9355000
1982-10-01,39,9355000
1982-10-13,39,9355000
1982-10-23,32,9355000
1982-12-01,26,9355000
1983-03-01,72,9355000
1983-03-15,37,9355000
1983-03-25,67,9355000
1983-04-25,32,9355000
1983-05-07,68,9355000
1983-05-20,64,9355000
1983-05-30,76,9355000
1983-06-12,66,9355000
1983-06-25,190,9355000
1983-07-09,82,9355000
1983-07-26,197,9355000
1983-08-03,100,9355000
1983-08-19,102,9355000
1983-08-29,90,9355000
1983-09-08,104,9355000
1983-09-20,88,9355000
1983-09-30,279,9355000
1983-10-12,50,9355000
1983-12-28,36,9355000
1984-03-03,60,9355000
1984-03-15,32,9355000
1984-04-18,38,9355000
1984-05-01,29,9355000
1984-05-16,69,9355000
1984-05-28,57,9355000
1984-06-06,74,9355000
1984-06-17,67,9355000
1984-06-25,71,9355000
1984-07-05,78,9355000
1984-07-21,78,9355000
1984-07-29,82,9355000
1984-08-06,174,9355000
1984-08-15,100,9355000
1984-08-24,360,9355000
1984-09-01,71,9355000
1984-09-17,67,9355000
1984-10-03,115,9355000
1984-10-18,109,9355000
1984-12-15,28.8,9355000
1984-12-28,173,9355000
1985-03-12,170,9355000
1985-03-30,26,9355000
1985-04-29,235,9355000
1985-05-08,25.6,9355000
1985-05-17,38.9,9355000
1985-05-29,66.7,9355000
1985-06-09,62,9355000
1985-06-18,69,9355000
1985-06-30,72,9355000
1985-07-10,79.9,9355000
1985-07-18,83.8,9355000
1985-07-29,123,9355000
1985-08-12,82,9355000
1985-08-21,82,9355000
1985-09-03,86,9355000
1985-09-15,140,9355000
1985-09-29,62,9355000
1985-10-11,76,9355000
1985-11-30,71,9355000
1986-02-16,54,9355000
1986-04-02,99,9355000
1986-04-25,28,9355000
1986-05-08,43,9355000
1986-05-17,67,9355000
1986-05-26,69,9355000
1986-06-03,74,9355000
1986-06-12,74,9355000
1986-06-26,112,9355000
1986-07-06,108,9355000
1986-07-22,114,9355000
1986-08-03,71,9355000
1986-08-11,72,9355000
1986-08-24,207,9355000
1986-09-10,173,9355000
1986-09-26,103,9355000
1986-10-12,326,9355000
1986-11-02,284,9355000
1986-11-19,74,9355000
1986-12-07,61,9355000
1987-03-06,172,9355000
1987-03-14,48,9355000
1987-03-24,50,9355000
1987-04-04,31,9355000
1987-04-12,61,9355000
1987-04-28,46,9355000
1987-05-07,39,9355000
1987-05-16,65,9355000
1987-05-24,95,9355000
1987-06-09,108,9355000
1987-06-21,81,9355000
1987-06-29,98,9355000
1987-07-10,84,9355000
1987-07-22,152,9355000
1987-08-07,133,9355000
1987-08-24,182,9355000
1987-09-04,82,9355000
1987-09-12,72,9355000
1987-09-26,78,9355000
1987-10-05,72,9355000
1987-10-15,69,9355000
1987-10-24,29,9355000
1987-11-02,67,9355000
1987-11-15,21,9355000
1988-03-03,90,9355000
1988-04-17,38,9355000
1988-05-03,57,9355000
1988-05-20,94,9355000
1988-05-31,60,9355000
1988-06-12,78,9355000
1988-06-20,65,9355000
1988-06-29,111,9355000
1988-07-11,73,9355000
1988-07-27,60,9355000
1988-08-06,181,9355000
1988-08-17,184,9355000
1988-08-27,99,9355000
1988-09-13,110,9355000
1988-09-22,120,9355000
1988-10-08,52,9355000
1988-10-20,25,9355000
1989-03-08,45,9355000
1989-04-19,34,9355000
1989-05-02,52,9355000
1989-05-17,65,9355000
1989-05-26,62,9355000
1989-06-04,60,9355000
1989-06-13,65,9355000
1989-06-22,64,9355000
1989-07-01,60,9355000
1989-07-11,62,9355000
1989-07-24,74,9355000
1989-08-01,253,9355000
1989-08-09,65,9355000
1989-08-18,82,9355000
1989-09-02,71,9355000
1989-09-12,80,9355000
1989-09-20,91,9355000
1989-10-04,65,9355000
1989-10-12,36,9355000
1990-03-11,20,9355000
1990-05-23,40,9355000
1990-06-01,47,9355000
1990-06-11,65,9355000
1990-06-21,54,9355000
1990-07-06,186,9355000
1990-07-14,84,9355000
1990-07-24,58,9355000
1990-08-06,76,9355000
1990-08-16,151,9355000
1990-08-25,51,9355000
1990-09-05,66,9355000
1990-09-17,70,9355000
1990-09-29,83,9355000
1990-10-08,53,9355000
1990-10-20,52,9355000
1990-11-03,20,9355000
1991-02-22,28,9355000
1991-03-02,84,9355000
1991-04-27,34,9355000
1991-05-10,34,9355000
1991-05-22,172,9355000
1991-06-03,83,9355000
1991-06-15,118,9355000
1991-06-29,93,9355000
1991-07-08,80,9355000
1991-07-18,79,9355000
1991-07-29,70,9355000
1991-08-07,120,9355000
1991-08-19,72,9355000
1991-08-29,70,9355000
1991-09-06,144,9355000
1991-10-02,37,9355000
1991-10-12,44,9355000
1991-11-03,33,9355000
1991-11-15,97,9355000
1992-02-14,123,9355000
1992-02-23,35,9355000
1992-03-03,52,9355000
1992-04-01,51,9355000
1992-04-17,42,9355000
1992-04-28,21,9355000
1992-05-10,114,9355000
1992-05-24,181,9355000
1992-06-08,98,9355000
1992-06-18,59,9355000
1992-06-26,62,9355000
1992-07-12,97,9355000
1992-07-25,183,9355000
1992-08-02,75,9355000
1992-08-13,68,9355000
1992-08-24,236,9355000
1992-09-06,61,9355000
1992-09-19,160,9355000
1992-09-27,49,9355000
1992-10-16,46,9355000
1992-10-30,33,9355000
1993-02-11,37,9355000
1993-02-21,120,9355000
1993-03-01,55,9355000
1993-03-09,170,9355000
1993-03-19,45,9355000
1993-03-28,74,9355000
1993-04-12,28,9355000
1993-04-25,33,9355000
1993-05-05,39,9355000
1993-05-18,94,9355000
1993-05-27,107,9355000
1993-06-07,68,9355000
1993-06-17,67,9355000
1993-06-29,65,9355000
1993-07-09,57,9355000
1993-07-17,69,9355000
1993-07-30,70,9355000
1993-08-14,132,9355000
1993-08-28,301,9355000
1993-09-13,179,9355000
1993-09-27,45,9355000
1993-10-07,61,9355000
1993-10-17,74,9355000
1993-11-15,33,9355000
1994-04-27,31,9355000
1994-05-12,55,9355000
1994-05-25,104,9355000
1994-06-11,64,9355000
1994-06-22,129,9355000
1994-07-03,86,9355000
1994-07-11,81,9355000
1994-07-25,97,9355000
1994-08-09,68,9355000
1994-08-21,56,9355000
1994-09-03,143,9355000
1994-09-13,144,9355000
1994-09-22,51,9355000
1994-10-01,62,9355000
1994-10-15,93,9355000
1994-11-04,21,9355000
1994-11-12,288,9355000
1994-12-06,22,9355000
1995-02-03,30,9355000
1995-02-15,73,9355000
1995-03-06,918,9355000
1995-04-29,24,9355000
1995-05-11,31,9355000
1995-05-19,53,9355000
1995-05-30,72,9355000
1995-06-08,55,9355000
1995-06-18,110,9355000
1995-07-01,76,9355000
1995-07-10,75,9355000
1995-07-19,128,9355000
1995-07-30,75,9355000
1995-08-17,71,9355000
1995-08-27,130,9355000
1995-09-09,82,9355000
1995-09-29,107,9355000
1995-10-07,53,9355000
1995-10-15,43,9355000
1996-04-16,21,9355000
1996-04-28,23,9355000
1996-05-09,29,9355000
1996-05-22,46,9355000
1996-06-01,53,9355000
1996-06-15,63,9355000
1996-06-28,157,9355000
1996-07-09,132,9355000
1996-07-17,134,9355000
1996-07-26,107,9355000
1996-08-03,138,9355000
1996-08-24,221,9355000
1996-09-06,156,9355000
1996-09-14,222,9355000
1996-10-05,27,9355000
1996-10-15,22,9355000
1997-03-13,112,9355000
1997-03-21,32,9355000
1997-04-04,20,9355000
1997-04-23,32,9355000
1997-05-01,28,9355000
1997-05-10,48,9355000
1997-05-23,81,9355000
1997-06-08,106,9355000
1997-06-16,69,9355000
1997-06-28,65,9355000
1997-07-12,67,9355000
1997-07-20,106,9355000
1997-07-29,259,9355000
1997-08-10,65,9355000
1997-08-23,52,9355000
1997-09-01,69,9355000
1997-09-12,67,9355000
1997-09-21,260,9355000
1997-09-29,33,9355000
1997-10-11,56,9355000
1997-10-24,47,9355000
1998-04-30,35,9355000
1998-05-09,22,9355000
1998-05-17,31,9355000
1998-06-02,31,9355000
1998-06-12,55,9355000
1998-06-21,56,9355000
1998-07-02,55,9355000
1998-07-10,194,9355000
1998-07-19,57,9355000
1998-07-28,158,9355000
1998-08-07,60,9355000
1998-08-21,142,9355000
1998-09-01,63,9355000
1998-09-13,63,9355000
1998-09-23,54,9355000
1998-10-01,227,9355000
1998-10-17,45,9355000
1998-10-26,66,9355000
1998-11-09,85,9355000
1999-04-22,22,9355000
1999-05-18,33,9355000
1999-05-30,50,9355000
1999-06-11,61,9355000
1999-06-21,88,9355000
1999-07-06,100,9355000
1999-07-15,131,9355000
1999-07-24,74,9355000
1999-08-03,255,9355000
1999-08-15,61,9355000
1999-08-24,50,9355000
1999-09-03,122,9355000
1999-09-13,36,9355000
1999-09-24,51,9355000
