"peak_dt","flow","site_no"
1979-10-19,173,14139700
1979-10-28,69,14139700
1979-11-05,49,14139700
1979-11-24,112,14139700
1979-12-02,438,14139700
1979-12-15,139,14139700
1980-01-05,144,14139700
1980-01-14,523,14139700
1980-02-02,312,14139700
1980-02-26,228,14139700
1980-03-11,102,14139700
1980-03-20,104,14139700
1980-03-29,72,14139700
1980-04-09,237,14139700
1980-04-20,116,14139700
1980-05-26,195,14139700
1980-06-13,84,14139700
1980-06-25,44,14139700
1980-09-20,91,14139700
1980-11-08,254,14139700
1980-11-22,112,14139700
1980-12-03,615,14139700
1980-12-16,42.5,14139700
1980-12-25,934,14139700
1981-01-27,65.8,14139700
1981-02-18,551,14139700
1981-03-04,41.4,14139700
1981-03-31,228,14139700
1981-04-08,195,14139700
1981-04-22,199,14139700
1981-05-07,94.5,14139700
1981-05-15,72.2,14139700
1981-05-25,100,14139700
1981-06-08,496,14139700
1981-06-19,344,14139700
1981-09-27,47.9,14139700
1981-10-09,137,14139700
1981-10-30,55.7,14139700
1981-11-12,47.9,14139700
1981-11-22,137,14139700
1981-12-02,615,14139700
1981-12-15,402,14139700
1981-12-25,125,14139700
1982-01-23,998,14139700
1982-02-02,102,14139700
1982-02-20,717,14139700
1982-03-04,224,14139700
1982-03-14,107,14139700
1982-03-28,52.3,14139700
1982-04-13,173,14139700
1982-04-28,103,14139700
1982-05-07,65.6,14139700
1982-05-17,53.5,14139700
1982-06-06,44.3,14139700
1982-09-12,59.8,14139700
1982-09-20,102,14139700
1982-09-28,44.6,14139700
1982-10-08,97,14139700
1982-10-17,42.1,14139700
1982-10-29,404,14139700
1982-11-06,190,14139700
1982-11-18,171,14139700
1982-12-03,502,14139700
1982-12-16,239,14139700
1983-01-06,782,14139700
1983-01-24,83.6,14139700
1983-02-07,50.1,14139700
1983-02-18,327,14139700
1983-03-09,215,14139700
1983-03-22,40.6,14139700
1983-03-30,482,14139700
1983-04-11,49.2,14139700
1983-04-24,48.5,14139700
1983-05-15,176,14139700
1983-06-10,83.1,14139700
1983-06-19,107,14139700
1983-07-02,116,14139700
1983-07-14,175,14139700
1983-09-11,79.6,14139700
1983-10-22,80.8,14139700
1983-11-06,275,14139700
1983-11-24,232,14139700
1983-12-10,289,14139700
1984-01-03,307,14139700
1984-01-11,142,14139700
1984-01-24,771,14139700
1984-02-13,450,14139700
1984-02-24,95.8,14139700
1984-03-10,58,14139700
1984-03-21,250,14139700
1984-04-12,169,14139700
1984-05-02,180,14139700
1984-05-11,92,14139700
1984-05-23,140,14139700
1984-06-09,136,14139700
1984-06-21,150,14139700
1984-06-29,77.8,14139700
1984-09-07,87.3,14139700
1984-10-14,120,14139700
1984-11-03,552,14139700
1984-11-13,222,14139700
1984-11-28,317,14139700
1984-12-10,158,14139700
1984-12-23,283,14139700
1985-01-18,46.8,14139700
1985-02-15,111,14139700
1985-02-24,136,14139700
1985-03-04,46.5,14139700
1985-03-23,154,14139700
1985-04-01,281,14139700
1985-04-10,128,14139700
1985-04-23,160,14139700
1985-05-03,106,14139700
1985-05-17,52.9,14139700
1985-05-30,92.7,14139700
1985-06-07,411,14139700
1985-08-08,76.6,14139700
1985-09-06,127,14139700
1985-09-17,147,14139700
1985-10-25,311,14139700
1985-11-07,709,14139700
1985-11-16,191,14139700
1985-12-07,136,14139700
1985-12-24,50.5,14139700
1986-01-03,129,14139700
1986-01-23,232,14139700
1986-02-05,123,14139700
1986-02-23,870,14139700
1986-03-09,112,14139700
1986-03-24,115,14139700
1986-04-02,44.6,14139700
1986-04-17,121,14139700
1986-04-27,203,14139700
