"peak_dt","flow","site_no"
1988-10-16,931,12392155
1988-11-06,1160,12392155
1988-11-23,294,12392155
1988-12-13,201,12392155
1989-03-13,656,12392155
1989-03-28,375,12392155
1989-04-07,1550,12392155
1989-04-21,2240,12392155
1989-05-10,2700,12392155
1989-05-18,2050,12392155
1989-06-03,2110,12392155
1989-06-16,928,12392155
1989-11-04,213,12392155
1989-11-12,2490,12392155
1989-11-20,498,12392155
1989-12-05,3030,12392155
1990-01-10,2510,12392155
1990-01-22,270,12392155
1990-02-11,208,12392155
1990-03-10,191,12392155
1990-03-22,307,12392155
1990-04-04,1170,12392155
1990-04-24,1760,12392155
1990-05-06,2380,12392155
1990-05-18,1090,12392155
1990-05-30,2790,12392155
1990-06-10,2050,12392155
1990-06-18,1800,12392155
1990-06-30,830,12392155
1990-07-27,225,12392155
1991-06-30,1220,12392155
1991-07-18,247,12392155
1991-12-06,190,12392155
1992-01-29,284,12392155
1992-02-23,206,12392155
1992-03-16,416,12392155
1992-04-04,878,12392155
1992-04-17,1240,12392155
1992-04-30,2550,12392155
1992-05-20,1220,12392155
1992-06-13,642,12392155
1992-09-25,237,12392155
1992-11-08,272,12392155
1993-01-26,181,12392155
1993-03-16,237,12392155
1993-03-24,998,12392155
1993-04-05,732,12392155
1993-04-23,569,12392155
1993-05-03,1090,12392155
1993-05-13,3280,12392155
1993-05-28,1540,12392155
1993-06-22,281,12392155
1993-07-06,205,12392155
1993-07-15,365,12392155
1993-07-25,377,12392155
1994-03-04,742,12392155
1994-03-19,436,12392155
1994-04-04,638,12392155
1994-04-13,694,12392155
1994-04-21,2390,12392155
1994-04-30,839,12392155
1994-05-10,2070,12392155
1994-05-21,943,12392155
1994-05-29,680,12392155
1994-06-07,706,12392155
1994-06-27,394,12392155
1994-10-27,484,12392155
1994-12-01,862,12392155
1994-12-19,311,12392155
1994-12-28,356,12392155
1995-01-11,518,12392155
1995-02-01,1220,12392155
1995-02-20,3560,12392155
1995-03-11,780,12392155
1995-03-21,706,12392155
1995-04-02,376,12392155
1995-04-14,430,12392155
1995-04-28,731,12392155
1995-05-17,2320,12392155
1995-05-30,2270,12392155
1995-06-11,1290,12392155
1995-06-21,1260,12392155
1995-07-03,339,12392155
1995-10-01,211,12392155
1995-10-11,1180,12392155
1995-10-26,445,12392155
1995-11-08,3010,12392155
1995-11-16,1450,12392155
1995-11-30,4400,12392155
1995-12-13,2700,12392155
1996-01-04,260,12392155
1996-01-16,1920,12392155
1996-02-09,4970,12392155
1996-02-19,2200,12392155
1996-03-16,392,12392155
1996-04-02,222,12392155
1996-04-10,2510,12392155
1996-04-24,4700,12392155
1996-05-15,3750,12392155
1996-05-27,2510,12392155
1996-06-04,2840,12392155
1996-06-28,698,12392155
1996-12-11,156,12392155
1997-01-02,922,12392155
1997-01-19,194,12392155
1997-01-30,192,12392155
1997-02-20,190,12392155
1997-03-08,158,12392155
1997-03-20,1630,12392155
1997-04-14,289,12392155
1997-04-27,2360,12392155
1997-05-15,4080,12392155
1997-06-01,3410,12392155
1997-06-11,2460,12392155
1997-06-29,1210,12392155
1997-07-10,1010,12392155
1997-07-22,275,12392155
1997-09-18,681,12392155
1997-10-05,1300,12392155
1997-10-31,1120,12392155
1997-11-08,407,12392155
1997-11-24,264,12392155
1998-02-13,169,12392155
1998-03-24,1400,12392155
1998-04-06,497,12392155
1998-04-24,2230,12392155
1998-05-04,2400,12392155
1998-05-14,1990,12392155
1998-05-27,2890,12392155
1998-06-16,1460,12392155
1998-11-16,568,12392155
1998-12-02,475,12392155
1998-12-14,543,12392155
1998-12-30,754,12392155
1999-01-15,795,12392155
1999-01-28,226,12392155
1999-02-07,175,12392155
1999-03-01,240,12392155
1999-03-16,162,12392155
1999-03-26,600,12392155
1999-04-08,220,12392155
1999-04-26,1620,12392155
1999-05-07,759,12392155
1999-05-25,2850,12392155
1999-06-05,2240,12392155
1999-06-16,1950,12392155
1999-06-25,1360,12392155
1999-07-07,957,12392155
1999-07-18,510,12392155
1999-08-08,191,12392155
1999-10-09,273,12392155
1999-10-29,525,12392155
1999-11-13,2520,12392155
1999-11-26,462,12392155
1999-12-18,520,12392155
2000-02-02,198,12392155
2000-02-24,156,12392155
2000-03-05,356,12392155
2000-03-14,219,12392155
2000-03-23,403,12392155
2000-04-05,773,12392155
2000-04-14,1410,12392155
2000-04-22,1670,12392155
2000-05-03,2160,12392155
2000-05-22,3790,12392155
2000-05-31,1530,12392155
2000-06-13,2610,12392155
2000-06-22,1080,12392155
2000-07-04,363,12392155
2000-09-30,195,12392155
2001-03-26,303,12392155
2001-04-08,163,12392155
2001-04-28,2050,12392155
2001-05-15,1930,12392155
2001-05-24,2030,12392155
2001-06-02,921,12392155
2001-06-14,772,12392155
2001-06-28,258,12392155
2001-10-31,780,12392155
2001-11-17,1210,12392155
2001-12-17,267,12392155
2002-01-08,3550,12392155
2002-01-26,380,12392155
2002-02-08,159,12392155
2002-02-23,789,12392155
2002-03-12,386,12392155
2002-03-24,174,12392155
2002-04-02,238,12392155
2002-04-14,4160,12392155
2002-04-22,841,12392155
2002-05-03,1460,12392155
2002-05-20,3030,12392155
2002-05-29,4610,12392155
2002-06-16,2090,12392155
2002-06-29,1190,12392155
2002-07-08,495,12392155
2002-12-15,587,12392155
2003-01-05,223,12392155
2003-02-01,1630,12392155
2003-02-17,258,12392155
2003-02-26,166,12392155
2003-03-14,767,12392155
2003-03-23,1320,12392155
2003-04-01,911,12392155
2003-04-14,951,12392155
2003-04-25,1230,12392155
2003-05-03,1050,12392155
2003-05-15,1390,12392155
