"peak_dt","flow","site_no"
1979-10-25,43,9306222
1979-11-02,39,9306222
1979-11-26,33,9306222
1979-12-13,35,9306222
1979-12-31,38,9306222
1980-01-17,42,9306222
1980-02-19,111,9306222
1980-02-28,45,9306222
1980-03-07,39,9306222
1980-03-22,43,9306222
1980-04-22,105,9306222
1980-05-05,100,9306222
1980-05-14,186,9306222
1980-05-24,149,9306222
1980-07-03,43,9306222
1980-08-02,40,9306222
1980-08-15,34,9306222
1980-08-24,38,9306222
1980-09-02,34,9306222
1980-09-23,25,9306222
1980-10-17,43,9306222
1980-10-29,50,9306222
1980-11-13,60,9306222
1980-11-24,49,9306222
1980-12-04,45,9306222
1980-12-15,45,9306222
1980-12-26,41,9306222
1981-01-05,41,9306222
1981-01-13,34,9306222
1981-01-28,34,9306222
1981-02-13,35,9306222
1981-02-21,35,9306222
1981-03-07,35,9306222
1981-03-18,37,9306222
1981-04-04,46,9306222
1981-10-16,38,9306222
1981-10-25,28,9306222
1981-11-02,37,9306222
1981-11-13,36,9306222
1981-11-23,36,9306222
1981-12-06,31,9306222
1981-12-19,30,9306222
1981-12-28,24,9306222
1982-02-01,25,9306222
1982-02-11,26,9306222
1982-02-22,70,9306222
1982-03-04,42,9306222
1982-03-16,43,9306222
1982-03-27,33,9306222
1982-04-07,31,9306222
1982-07-29,40,9306222
1982-08-14,32,9306222
1982-09-05,45,9306222
1982-09-13,49,9306222
1982-09-28,40,9306222
1982-10-06,34,9306222
1982-10-19,28,9306222
1982-11-01,32,9306222
1982-11-11,34,9306222
1982-11-19,29,9306222
1982-12-01,29,9306222
1982-12-10,25,9306222
1982-12-23,26,9306222
1982-12-31,26,9306222
1983-03-02,70,9306222
1983-03-15,54,9306222
1983-04-03,39,9306222
1983-04-12,40,9306222
1983-04-23,114,9306222
1983-05-02,251,9306222
1983-05-12,380,9306222
1983-05-28,525,9306222
1983-06-14,280,9306222
1983-06-27,224,9306222
1983-07-05,117,9306222
1983-07-23,152,9306222
1983-08-04,86,9306222
1983-08-13,147,9306222
1983-08-30,161,9306222
1983-09-24,70,9306222
1983-10-02,76,9306222
1983-10-13,60,9306222
1983-11-08,58,9306222
1983-11-18,55,9306222
1983-11-26,50,9306222
1983-12-08,46,9306222
1983-12-18,48,9306222
1984-01-03,50,9306222
1984-02-14,25,9306222
1984-02-22,28,9306222
1984-03-01,40,9306222
1984-03-14,90,9306222
1984-03-22,91,9306222
1984-04-09,76,9306222
1984-04-20,222,9306222
1984-05-07,206,9306222
1984-05-16,506,9306222
1984-05-25,247,9306222
1984-06-08,358,9306222
1984-06-16,177,9306222
1984-06-26,146,9306222
1984-07-11,148,9306222
1984-07-19,132,9306222
1984-08-02,137,9306222
1984-08-20,127,9306222
1984-08-30,98,9306222
1984-09-22,73,9306222
1984-10-05,82,9306222
1984-10-14,80.4,9306222
1984-10-25,74,9306222
1984-11-08,68,9306222
1984-11-18,59,9306222
1984-11-26,61,9306222
1984-12-21,47,9306222
1985-01-03,48,9306222
1985-01-13,58,9306222
1985-01-29,58,9306222
1985-02-13,66,9306222
1985-02-21,60,9306222
1985-03-03,58,9306222
1985-03-15,90,9306222
1985-03-26,103,9306222
1985-04-09,181,9306222
1985-04-26,367,9306222
1985-05-06,498,9306222
1985-05-20,309,9306222
1985-06-01,197,9306222
1985-06-10,122,9306222
1985-06-26,94,9306222
1985-07-05,80,9306222
1985-07-13,120,9306222
1985-07-23,165,9306222
1985-08-02,128,9306222
1985-08-12,108,9306222
1985-08-22,85,9306222
1985-09-03,61,9306222
1985-09-16,34,9306222
1985-09-29,61,9306222
1985-10-12,135,9306222
1985-10-22,86,9306222
1985-11-01,82,9306222
1985-11-13,91,9306222
1985-11-21,71,9306222
1985-11-30,81,9306222
1985-12-16,86,9306222
