"peak_dt","flow","site_no"
1979-10-02,21,9497800
1979-10-21,167,9497800
1979-10-30,23,9497800
1979-11-08,45,9497800
1979-12-14,21,9497800
1979-12-22,23,9497800
1980-01-19,97,9497800
1980-01-30,861,9497800
1980-02-15,3500,9497800
1980-03-03,195,9497800
1980-03-11,209,9497800
1980-03-19,133,9497800
1980-04-07,116,9497800
1980-04-30,64,9497800
1980-05-16,53,9497800
1980-05-25,35,9497800
1980-07-01,80,9497800
1980-07-13,48,9497800
1980-07-22,26,9497800
1980-08-03,266,9497800
1980-08-13,186,9497800
1980-08-25,128,9497800
1980-09-04,145,9497800
1980-09-19,22,9497800
1980-09-27,22,9497800
1980-10-15,24,9497800
1980-10-27,25,9497800
1980-12-06,76,9497800
1980-12-21,26,9497800
1981-01-04,24,9497800
1981-01-12,36,9497800
1981-02-08,30,9497800
1981-02-22,23,9497800
1981-03-03,61,9497800
1981-03-12,35,9497800
1981-03-21,30,9497800
1981-04-03,48,9497800
1981-04-27,20,9497800
1981-07-14,37,9497800
1981-07-23,70,9497800
1981-08-01,121,9497800
1981-08-09,264,9497800
1981-08-21,24,9497800
1981-08-29,32,9497800
1981-09-06,53,9497800
1981-09-17,59,9497800
1981-10-02,155,9497800
1981-10-11,27,9497800
1981-11-29,291,9497800
1981-12-25,23,9497800
1982-01-02,48,9497800
1982-01-12,37,9497800
1982-01-21,30,9497800
1982-01-29,41,9497800
1982-02-11,420,9497800
1982-02-25,118,9497800
1982-03-15,377,9497800
1982-03-27,115,9497800
1982-05-04,30,9497800
1982-05-27,21,9497800
1982-07-17,54,9497800
1982-07-25,36,9497800
1982-08-14,120,9497800
1982-08-25,120,9497800
1982-09-10,120,9497800
1982-09-18,20,9497800
1982-09-27,228,9497800
1982-11-09,44,9497800
1982-11-21,37,9497800
1982-11-30,620,9497800
1982-12-10,280,9497800
1982-12-23,320,9497800
1983-01-11,37,9497800
1983-01-20,59,9497800
1983-01-30,110,9497800
1983-02-08,365,9497800
