"peak_dt","flow","site_no"
1983-11-06,65.7,14096300
1983-11-24,87.3,14096300
1983-12-14,101,14096300
1984-01-04,132,14096300
1984-01-24,120,14096300
1984-02-13,146,14096300
1984-03-01,66.9,14096300
1984-03-15,73.3,14096300
1984-03-26,79.7,14096300
1984-04-12,71.8,14096300
1984-04-23,70.2,14096300
1984-05-03,79.9,14096300
1984-05-14,97.5,14096300
1984-05-30,116,14096300
1984-06-17,90,14096300
1984-06-27,84.4,14096300
1984-10-13,61.8,14096300
1984-10-26,62,14096300
1984-11-03,163,14096300
1984-11-13,94.8,14096300
1984-11-30,78.3,14096300
1984-12-10,75.5,14096300
1984-12-21,70,14096300
1985-01-01,61.9,14096300
1985-02-12,73.6,14096300
1985-02-24,62,14096300
1985-03-15,58.9,14096300
1985-03-24,66,14096300
1985-04-03,75.7,14096300
1985-04-16,98,14096300
1985-05-04,88.4,14096300
1985-05-25,110,14096300
1985-06-08,147,14096300
1985-10-23,76.7,14096300
1985-11-08,78.4,14096300
1985-11-16,61.9,14096300
1986-01-09,59.3,14096300
1986-01-19,93.8,14096300
1986-02-03,78.1,14096300
1986-02-23,324,14096300
1986-03-08,155,14096300
1986-03-19,85.2,14096300
1986-03-30,99.6,14096300
1986-04-10,84.1,14096300
1986-04-23,87.8,14096300
1986-05-03,77,14096300
1986-05-21,90.1,14096300
1986-05-31,102,14096300
1986-11-17,59.1,14096300
1986-11-27,134,14096300
1987-02-01,125,14096300
1987-02-13,80.6,14096300
1987-02-24,61.4,14096300
1987-03-13,89.1,14096300
1987-04-06,64.6,14096300
1987-04-18,88.1,14096300
1987-05-01,107,14096300
1987-05-13,122,14096300
1987-05-23,78.2,14096300
1987-05-31,73.4,14096300
1987-06-16,69.9,14096300
1987-06-25,65,14096300
1987-07-18,61.9,14096300
1987-12-10,305,14096300
1988-01-15,157,14096300
1988-01-30,63,14096300
1988-02-10,91,14096300
1988-03-05,82,14096300
1988-03-27,125,14096300
1988-04-07,108,14096300
1988-04-21,178,14096300
1988-04-30,114,14096300
1988-05-14,113,14096300
1988-05-29,120,14096300
1988-11-03,93,14096300
1988-11-12,70,14096300
1988-11-23,153,14096300
1988-12-07,77,14096300
1988-12-30,63,14096300
1989-01-10,118,14096300
1989-03-06,103,14096300
1989-03-18,81,14096300
1989-03-28,74,14096300
1989-04-09,115,14096300
1989-04-20,130,14096300
1989-05-08,124,14096300
1989-05-18,89,14096300
1989-05-28,80,14096300
1989-06-05,93,14096300
1989-06-15,78,14096300
1989-12-05,129,14096300
1990-01-08,279,14096300
1990-01-30,71,14096300
1990-02-10,84,14096300
1990-02-22,66,14096300
1990-03-05,61,14096300
1990-03-23,72,14096300
1990-04-08,80,14096300
1990-04-17,101,14096300
1990-04-28,342,14096300
1990-05-20,65,14096300
1990-05-28,87,14096300
1990-06-08,98,14096300
1990-11-25,103,14096300
1990-12-04,67,14096300
1991-01-15,204,14096300
1991-02-05,101,14096300
1991-02-13,92,14096300
1991-02-21,90,14096300
1991-03-04,120,14096300
1991-03-12,67,14096300
1991-04-09,85,14096300
1991-04-24,65,14096300
1991-05-09,88,14096300
1991-05-17,93,14096300
1991-05-25,75,14096300
1991-06-04,66,14096300
1991-06-13,60,14096300
1991-06-21,63,14096300
1991-11-26,155,14096300
1991-12-06,176,14096300
1992-01-28,77,14096300
1992-02-22,140,14096300
1992-03-06,79,14096300
1992-04-10,123,14096300
1992-04-18,143,14096300
1992-04-30,68,14096300
1992-11-01,64,14096300
1992-11-22,113,14096300
1992-12-02,62,14096300
1992-12-10,75,14096300
1992-12-20,65,14096300
1993-01-20,83,14096300
1993-03-09,67,14096300
1993-03-18,222,14096300
1993-04-03,124,14096300
1993-04-15,88,14096300
1993-04-25,89,14096300
1993-05-03,124,14096300
1993-05-13,130,14096300
1993-05-22,132,14096300
1993-06-05,125,14096300
1993-06-22,69,14096300
1993-12-01,87,14096300
1994-01-05,94,14096300
1994-01-13,67,14096300
1994-02-24,77,14096300
1994-03-04,82,14096300
1994-04-07,63,14096300
1994-04-20,95,14096300
1994-05-09,78,14096300
1994-05-22,69,14096300
1994-11-01,300,14096300
1994-12-01,130,14096300
1994-12-09,63,14096300
1994-12-17,111,14096300
1994-12-27,95,14096300
1995-01-14,196,14096300
1995-02-01,678,14096300
1995-02-20,260,14096300
1995-03-11,101,14096300
1995-03-19,99,14096300
1995-04-13,77,14096300
1995-05-04,117,14096300
1995-05-18,84,14096300
1995-05-27,74,14096300
1995-06-07,75,14096300
1995-06-15,88,14096300
1995-07-09,60,14096300
1995-11-11,280,14096300
1995-11-30,600,14096300
1995-12-12,378,14096300
1995-12-23,129,14096300
1995-12-31,281,14096300
1996-01-16,206,14096300
1996-01-28,159,14096300
1996-02-07,1060,14096300
1996-02-18,290,14096300
1996-03-03,96,14096300
1996-03-12,120,14096300
1996-04-01,101,14096300
1996-04-10,114,14096300
1996-04-24,308,14096300
1996-05-19,175,14096300
1996-06-03,89,14096300
1996-06-24,74,14096300
1996-07-18,60,14096300
1996-09-15,70,14096300
1996-10-15,63,14096300
1996-10-24,95,14096300
1996-11-07,63,14096300
1996-11-20,221,14096300
1996-12-05,235,14096300
1996-12-20,87,14096300
1997-01-01,510,14096300
1997-01-10,133,14096300
1997-01-19,112,14096300
1997-02-01,361,14096300
1997-02-19,111,14096300
1997-03-02,88,14096300
1997-03-10,129,14096300
1997-03-20,191,14096300
1997-04-08,93,14096300
1997-04-20,215,14096300
1997-05-07,127,14096300
1997-05-15,191,14096300
1997-06-01,181,14096300
1997-06-22,87,14096300
1997-06-30,91,14096300
1997-07-09,77,14096300
1997-07-29,68,14096300
1997-08-24,69,14096300
1997-09-03,69,14096300
1997-09-17,79,14096300
1997-09-27,67,14096300
1997-10-05,93,14096300
1997-10-18,68,14096300
1997-10-31,330,14096300
1997-11-24,109,14096300
1997-12-17,95,14096300
1997-12-28,64,14096300
1998-01-07,70,14096300
1998-01-17,160,14096300
1998-01-27,116,14096300
1998-02-13,95,14096300
1998-02-21,96,14096300
1998-03-02,77,14096300
1998-03-16,89,14096300
1998-03-24,161,14096300
1998-04-10,78,14096300
1998-04-24,92,14096300
1998-05-03,150,14096300
1998-05-12,100,14096300
1998-05-20,111,14096300
1998-05-30,103,14096300
1998-06-07,91,14096300
1998-06-26,63,14096300
1998-09-19,59,14096300
1998-10-04,59,14096300
1998-11-21,220,14096300
1998-12-02,196,14096300
1998-12-13,129,14096300
1998-12-28,468,14096300
1999-01-15,181,14096300
1999-02-07,93,14096300
1999-02-19,69,14096300
1999-02-28,149,14096300
1999-03-13,72,14096300
1999-03-21,85,14096300
1999-03-29,81,14096300
1999-04-13,69,14096300
1999-04-26,118,14096300
1999-05-07,100,14096300
1999-05-26,200,14096300
1999-06-06,164,14096300
1999-06-17,188,14096300
1999-06-25,169,14096300
1999-07-12,95,14096300
1999-07-20,85,14096300
1999-08-07,75,14096300
1999-08-31,62,14096300
1999-10-28,103,14096300
1999-11-06,75,14096300
1999-11-17,62,14096300
1999-11-26,702,14096300
1999-12-06,104,14096300
1999-12-18,159,14096300
2000-01-02,68,14096300
2000-01-11,88,14096300
2000-02-02,117,14096300
2000-02-14,79,14096300
2000-02-27,78,14096300
2000-03-11,65,14096300
2000-03-19,95,14096300
2000-03-27,95,14096300
2000-04-05,140,14096300
2000-04-13,163,14096300
2000-04-22,137,14096300
2000-05-10,151,14096300
2000-05-23,140,14096300
