"peak_dt","flow","site_no"
1979-10-25,656,14375100
1979-11-05,217,14375100
1979-11-24,1100,14375100
1979-12-03,828,14375100
1979-12-21,258,14375100
1979-12-31,792,14375100
1980-01-13,2360,14375100
1980-02-03,499,14375100
1980-02-19,764,14375100
1980-02-28,676,14375100
1980-03-14,926,14375100
1980-04-09,499,14375100
1980-04-20,516,14375100
1980-04-28,423,14375100
1980-05-09,276,14375100
1980-05-20,213,14375100
1980-06-03,164,14375100
1980-06-13,138,14375100
1980-06-25,112,14375100
1980-12-02,1450,14375100
1980-12-25,522,14375100
1981-01-23,267,14375100
1981-02-05,115,14375100
1981-02-14,709,14375100
1981-03-04,201,14375100
1981-03-16,159,14375100
1981-03-29,238,14375100
1981-04-19,205,14375100
1981-04-29,159,14375100
1981-05-25,124,14375100
1981-10-07,121,14375100
1981-10-28,228,14375100
1981-11-17,1560,14375100
1981-12-06,2000,14375100
1981-12-19,3940,14375100
1981-12-30,1260,14375100
1982-01-18,412,14375100
1982-01-26,613,14375100
1982-02-14,2680,14375100
1982-03-01,1430,14375100
1982-03-11,575,14375100
1982-04-03,404,14375100
1982-04-14,1470,14375100
1982-04-23,981,14375100
1982-05-07,674,14375100
1982-05-17,511,14375100
1982-05-25,634,14375100
1982-06-04,306,14375100
1982-06-19,300,14375100
1982-06-29,246,14375100
1982-10-29,424,14375100
1982-11-18,522,14375100
1982-12-06,650,14375100
1982-12-16,3160,14375100
1983-01-08,289,14375100
1983-01-16,170,14375100
1983-01-26,4540,14375100
1983-02-10,1040,14375100
1983-02-18,4470,14375100
1983-03-13,1430,14375100
1983-03-30,2810,14375100
1983-04-23,477,14375100
1983-05-05,392,14375100
1983-05-14,372,14375100
1983-05-29,801,14375100
1983-06-08,447,14375100
1983-06-17,285,14375100
1983-07-01,280,14375100
1983-08-30,116,14375100
1983-11-06,233,14375100
1983-11-17,961,14375100
1983-12-02,271,14375100
1983-12-14,3070,14375100
1983-12-30,1280,14375100
1984-01-24,218,14375100
1984-02-13,1300,14375100
1984-02-21,501,14375100
1984-03-02,452,14375100
1984-03-10,364,14375100
1984-03-20,825,14375100
1984-04-04,362,14375100
1984-04-15,511,14375100
1984-05-03,387,14375100
1984-05-11,459,14375100
1984-05-20,312,14375100
1984-05-29,321,14375100
1984-06-07,282,14375100
1984-06-20,161,14375100
1984-11-02,337,14375100
1984-11-12,1500,14375100
1984-11-28,1000,14375100
1984-12-12,300,14375100
1984-12-30,158,14375100
1985-01-07,143,14375100
1985-01-18,138,14375100
1985-02-02,108,14375100
1985-02-12,872,14375100
1985-03-04,172,14375100
1985-03-24,211,14375100
1985-04-03,585,14375100
1985-04-14,421,14375100
1985-04-23,251,14375100
1985-05-01,241,14375100
1985-05-14,164,14375100
1985-05-23,183,14375100
1985-06-07,218,14375100
1985-10-22,115,14375100
1985-11-16,122,14375100
1985-12-02,347,14375100
1986-01-09,169,14375100
1986-01-17,681,14375100
1986-02-03,577,14375100
1986-02-18,3560,14375100
1986-03-07,918,14375100
1986-03-24,429,14375100
1986-04-22,184,14375100
1986-05-03,224,14375100
1986-05-20,179,14375100
1986-09-26,241,14375100
1986-10-30,243,14375100
1986-11-22,324,14375100
1986-12-05,114,14375100
1986-12-23,151,14375100
1987-01-03,440,14375100
1987-01-12,127,14375100
1987-02-02,2060,14375100
1987-02-13,469,14375100
1987-03-05,633,14375100
1987-03-13,795,14375100
1987-04-03,263,14375100
1987-04-11,250,14375100
1987-04-28,281,14375100
1987-05-06,242,14375100
1987-05-31,125,14375100
1987-12-02,218,14375100
1987-12-10,1230,14375100
1988-01-15,841,14375100
1988-01-30,349,14375100
1988-02-09,188,14375100
1988-02-24,130,14375100
1988-03-05,168,14375100
1988-03-23,130,14375100
1988-04-03,119,14375100
1988-04-21,172,14375100
1988-05-03,173,14375100
1988-05-13,254,14375100
1988-06-01,310,14375100
1988-06-10,262,14375100
1988-11-13,120,14375100
1988-11-22,1590,14375100
1988-12-06,117,14375100
1988-12-22,119,14375100
1988-12-31,133,14375100
1989-01-10,955,14375100
1989-01-22,528,14375100
1989-02-01,260,14375100
1989-02-23,518,14375100
1989-03-10,1670,14375100
1989-03-21,942,14375100
1989-04-03,665,14375100
1989-04-14,484,14375100
1989-04-25,315,14375100
1989-05-09,303,14375100
1989-05-27,174,14375100
1989-06-15,110,14375100
1989-10-23,226,14375100
1989-12-05,163,14375100
1990-01-08,1680,14375100
1990-01-30,108,14375100
1990-02-11,159,14375100
1990-03-03,468,14375100
1990-03-23,240,14375100
1990-04-06,166,14375100
1990-04-15,131,14375100
1990-04-23,200,14375100
1990-05-22,212,14375100
1990-06-01,546,14375100
1990-12-10,121,14375100
1991-01-13,469,14375100
1991-02-05,660,14375100
1991-03-04,1010,14375100
1991-03-13,230,14375100
1991-03-24,170,14375100
1991-04-01,203,14375100
1991-04-09,347,14375100
1991-04-24,203,14375100
1991-05-08,190,14375100
1991-05-21,283,14375100
1991-05-30,180,14375100
2008-11-04,125,14375100
2008-12-29,1750,14375100
2009-01-08,362,14375100
2009-02-06,117,14375100
2009-03-02,858,14375100
2009-03-16,1560,14375100
2009-03-28,323,14375100
2009-04-09,228,14375100
2009-04-22,346,14375100
2009-05-05,797,14375100
2009-05-17,249,14375100
2009-06-02,126,14375100
2009-10-14,133,14375100
2009-11-22,136,14375100
2009-12-16,225,14375100
2010-01-01,1310,14375100
2010-01-13,1080,14375100
2010-01-25,378,14375100
2010-02-05,285,14375100
2010-02-15,340,14375100
2010-02-27,706,14375100
2010-03-17,289,14375100
2010-03-30,592,14375100
2010-04-08,397,14375100
2010-04-20,550,14375100
2010-04-28,1230,14375100
2010-05-18,434,14375100
2010-05-27,408,14375100
2010-06-04,1360,14375100
2010-10-24,156,14375100
2010-11-07,143,14375100
2010-11-23,112,14375100
2010-12-02,372,14375100
2010-12-14,811,14375100
2010-12-29,1450,14375100
2011-01-17,1480,14375100
2011-02-15,461,14375100
2011-02-24,172,14375100
2011-03-06,1340,14375100
2011-03-16,1450,14375100
2011-04-02,1010,14375100
2011-04-18,1770,14375100
2011-05-06,597,14375100
2011-05-14,513,14375100
2011-05-25,479,14375100
2011-06-13,569,14375100
2011-06-28,475,14375100
2011-07-13,159,14375100
2011-11-23,256,14375100
2011-12-30,429,14375100
2012-01-19,1660,14375100
2012-02-11,185,14375100
2012-02-23,197,14375100
2012-03-06,271,14375100
2012-03-16,1330,14375100
2012-03-30,2680,14375100
2012-04-14,498,14375100
2012-04-23,1020,14375100
2012-05-03,510,14375100
2012-05-14,439,14375100
2012-06-04,216,14375100
2012-06-23,127,14375100
2012-07-01,109,14375100
2012-11-01,127,14375100
2012-11-20,821,14375100
2012-12-05,2710,14375100
2012-12-17,647,14375100
2012-12-26,428,14375100
2013-01-10,282,14375100
2013-01-26,770,14375100
2013-02-05,277,14375100
2013-02-16,189,14375100
2013-03-06,232,14375100
2013-03-20,401,14375100
2013-04-05,656,14375100
2013-04-27,233,14375100
2013-05-07,219,14375100
2013-05-16,132,14375100
2013-05-28,143,14375100
2013-09-30,197,14375100
2014-02-14,1160,14375100
2014-03-10,1320,14375100
2014-03-29,853,14375100
2014-04-24,137,14375100
2014-05-10,135,14375100
2014-10-26,174,14375100
2014-11-22,269,14375100
2014-12-11,574,14375100
2014-12-21,816,14375100
2015-01-18,594,14375100
2015-02-06,2660,14375100
2015-02-27,183,14375100
2015-03-16,175,14375100
2015-03-24,379,14375100
2015-04-12,150,14375100
2015-04-24,114,14375100
2015-12-03,156,14375100
2015-12-13,1250,14375100
2015-12-22,873,14375100
2016-01-06,142,14375100
2016-01-17,2240,14375100
2016-01-29,1230,14375100
2016-02-09,435,14375100
2016-02-19,514,14375100
2016-02-27,452,14375100
2016-03-06,1430,14375100
2016-03-14,1300,14375100
2016-03-22,1020,14375100
2016-04-08,454,14375100
2016-04-22,399,14375100
2016-05-05,285,14375100
2016-05-20,173,14375100
2016-06-18,107,14375100
