"peak_dt","flow","site_no"
1980-05-12,2.6,9034900
1980-05-25,25,9034900
1980-06-12,105,9034900
1980-07-08,42,9034900
1980-08-15,7.4,9034900
1980-08-26,8.6,9034900
1980-09-11,6.6,9034900
1980-09-20,5.3,9034900
1981-04-27,5,9034900
1981-05-07,6.2,9034900
1981-05-20,4.8,9034900
1981-05-29,26,9034900
1981-06-09,117,9034900
1981-06-21,32,9034900
1981-07-08,36,9034900
1981-07-16,22,9034900
1981-08-01,8.6,9034900
1981-08-13,7.6,9034900
1981-08-22,5.9,9034900
1981-09-01,4,9034900
1981-09-11,8.6,9034900
1981-10-03,3.1,9034900
1982-05-03,3,9034900
1982-05-16,2.6,9034900
1982-05-24,9.7,9034900
1982-06-05,22,9034900
1982-06-17,45,9034900
1982-07-01,105,9034900
1982-07-12,42,9034900
1982-07-29,29,9034900
1982-08-12,19,9034900
1982-09-05,9.7,9034900
1982-09-17,12,9034900
1982-09-26,10,9034900
1982-10-07,6.1,9034900
1983-05-30,21,9034900
1983-06-12,37,9034900
1983-06-25,146,9034900
1983-07-08,122,9034900
1983-07-22,62,9034900
1983-08-05,51,9034900
1983-08-17,22,9034900
1983-08-25,22,9034900
1983-09-04,20,9034900
1983-09-20,7.2,9034900
1983-09-29,4.8,9034900
1983-10-13,4.6,9034900
1984-05-25,45,9034900
1984-06-22,101,9034900
1984-06-30,105,9034900
1984-07-10,79,9034900
1984-07-24,32,9034900
1984-08-06,40,9034900
1984-08-24,31,9034900
1984-09-07,11,9034900
1984-09-16,7.1,9034900
1984-09-25,5.7,9034900
1984-10-05,7.09,9034900
1984-10-16,8.09,9034900
1985-04-18,2.7,9034900
1985-05-09,18,9034900
1985-05-18,11,9034900
1985-05-29,41,9034900
1985-06-08,117,9034900
1985-06-21,50,9034900
1985-07-04,24,9034900
1985-07-13,24,9034900
1985-07-21,33.9,9034900
1985-08-12,8.09,9034900
1985-08-27,2.9,9034900
1985-09-04,4.19,9034900
1985-09-15,3.23,9034900
1985-09-29,10,9034900
1985-10-08,5.3,9034900
1985-10-16,4.8,9034900
1986-05-06,2.8,9034900
1986-05-14,7.1,9034900
1986-05-29,43,9034900
1986-06-07,95,9034900
1986-06-19,109,9034900
1986-06-28,89,9034900
1986-07-24,40,9034900
1986-08-14,10,9034900
1986-08-26,9.9,9034900
1986-09-08,8.9,9034900
1986-09-27,4.6,9034900
1986-10-06,4.9,9034900
1986-10-21,3.5,9034900
1987-04-19,3.2,9034900
1987-04-29,6.6,9034900
1987-05-16,29,9034900
1987-06-09,66,9034900
1987-06-29,30,9034900
1987-07-12,17,9034900
1987-07-31,11,9034900
1987-08-13,6.9,9034900
1987-08-21,8.2,9034900
1987-09-03,3.2,9034900
1987-09-17,3.4,9034900
1988-05-15,45,9034900
1988-05-29,44,9034900
1988-06-10,122,9034900
1988-06-19,89,9034900
1988-06-28,98,9034900
1988-07-31,8.7,9034900
1988-08-17,5.3,9034900
1988-08-26,3.7,9034900
1988-09-11,3.2,9034900
1988-09-22,2.9,9034900
1988-10-01,2.6,9034900
1988-10-10,2.6,9034900
1989-04-27,7,9034900
1989-05-11,15,9034900
1989-05-31,68,9034900
1989-06-08,47,9034900
1989-06-16,63,9034900
1989-06-28,33,9034900
1989-07-11,29,9034900
1989-07-30,26,9034900
1989-08-11,12,9034900
1989-08-22,6.4,9034900
1989-09-13,3.9,9034900
1989-10-09,2.6,9034900
1989-10-17,2.6,9034900
1989-10-25,3.3,9034900
1990-04-24,4.8,9034900
1990-05-02,3.2,9034900
1990-05-15,6.3,9034900
1990-05-29,32,9034900
1990-06-10,101,9034900
1990-06-18,64,9034900
1990-07-08,41,9034900
1990-07-21,19,9034900
1990-08-02,6.6,9034900
1990-08-19,9.8,9034900
1990-09-03,5.6,9034900
1990-09-17,5.5,9034900
1990-09-29,5.4,9034900
1990-10-09,5.7,9034900
1990-10-19,4.1,9034900
1990-11-01,3.3,9034900
1990-11-09,2.9,9034900
1991-05-14,15,9034900
1991-05-27,36,9034900
1991-06-06,48,9034900
1991-06-15,95,9034900
1991-06-28,47,9034900
1991-07-08,28,9034900
1991-07-26,17,9034900
1991-08-03,9.6,9034900
1991-08-13,14,9034900
1991-08-24,7.3,9034900
1991-09-07,5.3,9034900
1991-09-15,6.1,9034900
1992-04-19,4.4,9034900
1992-05-01,14,9034900
1992-05-09,17,9034900
1992-05-21,50,9034900
1992-06-06,28,9034900
1992-06-20,68,9034900
1992-07-06,33,9034900
1992-07-20,18,9034900
1992-08-06,9.3,9034900
1992-08-16,7.7,9034900
1992-08-24,10,9034900
1992-09-01,7.4,9034900
1992-09-18,5.7,9034900
1992-09-30,4.5,9034900
1992-10-08,5.8,9034900
1992-10-18,2.6,9034900
1992-10-27,2.6,9034900
1993-05-05,3.2,9034900
1993-05-22,20,9034900
1993-05-31,46,9034900
1993-06-16,95,9034900
1993-06-29,109,9034900
1993-07-12,60,9034900
1993-08-21,8.7,9034900
1993-09-08,8.4,9034900
1993-10-11,4.7,9034900
1993-10-25,3.5,9034900
1994-04-25,9,9034900
1994-05-12,24,9034900
1994-05-27,45,9034900
1994-06-04,80,9034900
1994-06-12,52,9034900
1994-06-22,63,9034900
1994-07-15,11,9034900
1994-07-23,8.1,9034900
1994-08-01,8.1,9034900
1994-08-10,6.5,9034900
1994-08-19,6.8,9034900
1994-09-02,10,9034900
1994-09-13,6.5,9034900
1994-09-21,5.2,9034900
1994-09-30,3.3,9034900
1994-10-08,3.2,9034900
1994-10-26,2.5,9034900
1995-05-24,4.5,9034900
1995-06-09,19,9034900
1995-06-17,119,9034900
1995-06-28,89,9034900
1995-07-12,135,9034900
1995-07-25,54,9034900
1995-08-08,29,9034900
1995-08-22,17,9034900
1995-09-08,8.6,9034900
1995-09-22,5.8,9034900
1995-10-05,6.9,9034900
1995-10-14,6.6,9034900
1995-10-27,4.7,9034900
1995-11-09,2.8,9034900
1996-05-23,60,9034900
1996-06-09,101,9034900
1996-06-22,136,9034900
1996-07-05,56,9034900
1996-07-18,26,9034900
1996-07-29,13,9034900
1996-08-19,6,9034900
1996-08-28,4.6,9034900
1996-09-06,4.3,9034900
1996-09-15,4.7,9034900
1996-09-24,5.6,9034900
1996-10-03,5.4,9034900
