"peak_dt","flow","site_no"
1979-10-05,48,6216900
1979-10-18,71,6216900
1979-10-31,71,6216900
1979-11-13,73,6216900
1979-11-23,70,6216900
1979-12-04,88,6216900
1979-12-20,88,6216900
1979-12-31,85,6216900
1980-01-13,58,6216900
1980-01-23,58,6216900
1980-02-02,57,6216900
1980-02-19,100,6216900
1980-02-29,600,6216900
1980-03-12,250,6216900
1980-03-25,99,6216900
1980-04-03,181,6216900
1980-04-11,171,6216900
1980-05-02,83,6216900
1980-05-11,184,6216900
1980-05-26,111,6216900
1980-06-08,69,6216900
1980-06-17,87,6216900
1980-09-27,47,6216900
1980-10-20,142,6216900
1980-11-05,60,6216900
1980-11-21,58,6216900
1980-12-16,66,6216900
1980-12-27,80,6216900
1981-01-05,54,6216900
1981-01-20,64,6216900
1981-02-06,52,6216900
1981-02-20,56,6216900
1981-03-08,48,6216900
1981-03-21,67,6216900
1981-03-30,109,6216900
1981-04-09,53,6216900
1981-05-09,246,6216900
1981-05-17,1140,6216900
1981-05-28,324,6216900
1981-06-05,139,6216900
1981-06-16,119,6216900
1981-06-28,73,6216900
1981-10-14,51,6216900
1981-10-27,73,6216900
1981-11-07,56,6216900
1981-11-18,67,6216900
1981-12-07,66,6216900
1981-12-20,70,6216900
1982-01-14,60,6216900
1982-01-26,90,6216900
1982-02-07,64,6216900
1982-02-16,350,6216900
1982-03-07,56,6216900
1982-03-20,317,6216900
1982-03-29,125,6216900
1982-04-13,94,6216900
1982-05-11,65,6216900
1982-05-22,73,6216900
1982-05-30,151,6216900
1982-06-07,528,6216900
1982-06-19,210,6216900
1982-07-11,120,6216900
1982-07-25,85,6216900
1982-09-16,92,6216900
1982-09-29,73,6216900
1982-10-10,61,6216900
1982-10-29,107,6216900
1982-11-06,55,6216900
1982-11-18,60,6216900
1982-11-29,80,6216900
1982-12-19,180,6216900
1983-01-01,66,6216900
1983-01-09,250,6216900
1983-01-18,50,6216900
1983-01-28,48,6216900
1983-02-07,80,6216900
1983-02-15,100,6216900
1983-02-25,70,6216900
1983-03-09,55,6216900
1983-03-20,53,6216900
1983-03-29,91,6216900
1983-04-13,60,6216900
1983-04-24,60,6216900
1983-05-05,52,6216900
1983-05-15,403,6216900
1983-06-06,75,6216900
1983-06-15,73,6216900
1983-09-22,64,6216900
1983-09-30,71,6216900
1983-10-12,49,6216900
1983-10-20,96,6216900
1983-10-30,55,6216900
1983-11-09,58,6216900
1983-11-27,66,6216900
1983-12-11,70,6216900
1984-01-07,250,6216900
1984-01-16,80,6216900
1984-01-28,170,6216900
1984-02-05,90,6216900
1984-02-22,80,6216900
1984-03-04,159,6216900
1984-03-15,180,6216900
1984-03-29,112,6216900
1984-04-11,134,6216900
1984-04-27,110,6216900
1984-05-09,770,6216900
1984-05-18,455,6216900
1984-06-02,237,6216900
1984-06-12,171,6216900
1984-06-28,83,6216900
1984-07-09,55,6216900
1984-07-26,52,6216900
1984-08-07,56,6216900
1984-09-11,50,6216900
1984-09-29,75.8,6216900
1984-10-08,63.7,6216900
1984-10-18,68.8,6216900
1984-10-26,71,6216900
1984-11-11,73.8,6216900
1984-11-20,85.5,6216900
1984-11-30,93,6216900
1984-12-08,126,6216900
1984-12-22,80,6216900
1985-01-04,70,6216900
1985-01-17,80,6216900
1985-01-25,70,6216900
1985-02-19,120,6216900
1985-03-01,170,6216900
1985-03-11,160,6216900
1985-03-20,749,6216900
1985-04-03,276,6216900
1985-04-25,76.4,6216900
1985-05-04,53.5,6216900
1985-05-13,82.1,6216900
1985-06-04,58.6,6216900
1985-06-26,61.1,6216900
1985-08-04,82.8,6216900
1985-09-21,57.9,6216900
1985-09-29,66,6216900
1985-10-12,74.7,6216900
1985-10-21,50.3,6216900
1985-11-04,51.1,6216900
1985-11-15,50,6216900
1985-12-23,54,6216900
1986-01-01,52,6216900
1986-01-11,62,6216900
1986-01-19,64,6216900
1986-01-28,60,6216900
1986-02-27,562,6216900
1986-03-10,63.4,6216900
1986-03-20,91.7,6216900
1986-04-02,53.4,6216900
1986-04-18,182,6216900
1986-04-28,136,6216900
1986-05-11,335,6216900
