"peak_dt","flow","site_no"
1979-10-19,13,9025000
1980-04-30,8,9025000
1980-05-11,20,9025000
1980-05-24,93,9025000
1980-06-12,264,9025000
1980-06-24,83,9025000
1980-07-03,89,9025000
1980-07-13,77,9025000
1980-07-25,9.8,9025000
1980-08-05,11,9025000
1980-08-18,13,9025000
1980-09-01,11,9025000
1980-09-10,9.2,9025000
1980-10-09,13,9025000
1980-10-25,17,9025000
1980-11-02,16,9025000
1981-04-19,8.7,9025000
1981-05-03,13,9025000
1981-05-20,16,9025000
1981-05-29,19,9025000
1981-06-07,14,9025000
1981-06-24,11,9025000
1981-07-08,14,9025000
1981-07-16,13,9025000
1981-07-31,12,9025000
1981-08-16,12,9025000
1981-09-01,11,9025000
1981-09-10,10,9025000
1981-10-05,13,9025000
1982-05-10,14,9025000
1982-05-19,19,9025000
1982-05-29,34,9025000
1982-06-14,16,9025000
1982-06-22,20,9025000
1982-07-03,97,9025000
1982-07-15,21,9025000
1982-07-29,55,9025000
1982-08-12,11,9025000
1982-08-26,9.8,9025000
1982-09-05,11,9025000
1983-05-18,13,9025000
1983-05-30,69,9025000
1983-06-12,183,9025000
1983-06-25,417,9025000
1983-07-03,306,9025000
1983-07-20,168,9025000
1983-08-07,40,9025000
1983-08-15,17,9025000
1983-08-23,47,9025000
1983-09-04,10,9025000
1983-09-19,29,9025000
1983-09-27,26,9025000
1983-10-29,17,9025000
1984-05-18,84,9025000
1984-06-01,247,9025000
1984-06-14,207,9025000
1984-06-22,256,9025000
1984-07-01,207,9025000
1984-07-10,102,9025000
1984-07-28,29,9025000
1984-08-06,13,9025000
1984-08-16,13,9025000
1984-09-01,53,9025000
1984-09-16,35,9025000
1984-10-05,8.26,9025000
1984-10-17,8,9025000
1984-11-10,8.81,9025000
1985-04-10,14.8,9025000
1985-04-19,12,9025000
1985-05-05,29.1,9025000
1985-05-18,21,9025000
1985-06-09,194,9025000
1985-06-18,69.2,9025000
1985-06-27,45.2,9025000
1985-07-07,8.14,9025000
1985-07-19,10.5,9025000
1985-08-06,8.28,9025000
1985-08-15,8.06,9025000
1985-08-31,9.14,9025000
1985-09-12,8.54,9025000
1985-11-14,10,9025000
1985-11-28,12,9025000
1986-04-25,8.8,9025000
1986-05-05,24,9025000
1986-05-16,19,9025000
1986-06-05,18,9025000
1986-06-20,173,9025000
1986-07-07,63,9025000
1986-07-22,26,9025000
1986-07-30,9.6,9025000
1986-08-13,7.9,9025000
1986-08-27,8.9,9025000
1986-09-08,9.4,9025000
1986-10-20,13,9025000
1987-04-27,11,9025000
1987-05-09,9.1,9025000
1987-05-17,13,9025000
1987-06-02,33,9025000
1987-06-10,105,9025000
1987-06-20,71,9025000
1987-06-29,10,9025000
1987-07-12,10,9025000
