"peak_dt","flow","site_no"
1980-07-07,11,10336645
1980-12-04,3.5,10336645
1981-02-14,11,10336645
1981-02-23,7.9,10336645
1981-03-13,5.8,10336645
1981-03-26,15,10336645
1981-04-10,20,10336645
1981-04-18,35,10336645
1981-05-01,89,10336645
1981-05-10,36,10336645
1981-05-19,45,10336645
1981-11-14,112,10336645
1981-11-24,290,10336645
1981-12-10,16,10336645
1981-12-20,588,10336645
1981-12-30,36,10336645
1982-02-16,414,10336645
1982-03-01,28,10336645
1982-03-11,41,10336645
1982-03-25,18,10336645
1982-04-12,155,10336645
1982-04-28,75,10336645
1982-05-08,123,10336645
1982-05-17,126,10336645
1982-05-25,170,10336645
1982-06-10,83,10336645
1982-06-19,104,10336645
1982-06-29,27,10336645
1982-09-16,3.4,10336645
1982-09-26,17,10336645
1982-10-08,4.4,10336645
1982-10-26,122,10336645
1982-11-18,25,10336645
1982-11-29,13,10336645
1982-12-21,22,10336645
1983-01-26,11,10336645
1983-02-13,15,10336645
1983-03-01,16,10336645
1983-03-14,62,10336645
1983-03-31,30,10336645
1983-04-09,16,10336645
1983-04-23,25,10336645
1983-05-04,27,10336645
1983-05-16,66,10336645
1983-05-29,259,10336645
1983-06-11,241,10336645
1983-06-23,156,10336645
1983-07-02,138,10336645
1983-07-12,61,10336645
1983-08-15,6.6,10336645
1983-09-01,19,10336645
1983-09-30,12,10336645
1983-10-10,4.1,10336645
1983-10-24,3.5,10336645
1983-11-01,35,10336645
1983-11-11,147,10336645
1983-11-24,124,10336645
1983-12-15,35,10336645
1983-12-26,127,10336645
1984-02-13,14,10336645
1984-03-02,11,10336645
1984-03-14,26,10336645
1984-03-26,42,10336645
1984-04-08,26,10336645
1984-04-16,66,10336645
1984-04-24,57,10336645
1984-05-04,80,10336645
1984-05-13,147,10336645
1984-05-23,126,10336645
1984-06-04,63,10336645
1984-06-16,26,10336645
1984-07-18,3.8,10336645
1984-10-11,3.6,10336645
1984-11-03,9.8,10336645
1984-11-12,12,10336645
1984-11-28,9.3,10336645
1985-02-07,4.2,10336645
1985-02-15,5.3,10336645
1985-03-02,6.3,10336645
1985-03-24,10,10336645
1985-04-15,97,10336645
1985-04-24,41,10336645
1985-05-02,99,10336645
1985-05-14,63,10336645
1985-05-23,50,10336645
1985-06-03,20,10336645
1985-11-25,3.5,10336645
1985-12-03,9,10336645
1986-01-05,31,10336645
1986-01-17,81,10336645
1986-01-31,17,10336645
1986-02-18,400,10336645
1986-02-28,40,10336645
1986-03-08,372,10336645
1986-03-31,83,10336645
1986-04-12,64,10336645
1986-04-22,100,10336645
1986-05-03,96,10336645
1986-05-18,104,10336645
1986-05-29,110,10336645
1986-06-12,29,10336645
1986-09-27,3.1,10336645
1987-02-13,15,10336645
1987-03-13,8.7,10336645
1987-04-03,15,10336645
1987-04-17,53,10336645
1987-04-27,74,10336645
1987-05-05,38,10336645
1987-05-21,12,10336645
1987-06-14,3.4,10336645
1987-12-11,3.9,10336645
1988-01-05,3.2,10336645
1988-02-07,3.5,10336645
1988-02-15,3.6,10336645
1988-02-29,5.9,10336645
1988-03-09,8.6,10336645
1988-03-27,25,10336645
1988-04-14,37,10336645
1988-04-27,26,10336645
1988-05-12,24,10336645
1988-06-01,12,10336645
1988-06-09,9.7,10336645
1988-11-23,4.8,10336645
1989-02-26,10,10336645
1989-03-09,82,10336645
1989-03-24,36,10336645
1989-04-01,57,10336645
1989-04-10,107,10336645
1989-04-20,114,10336645
1989-05-07,127,10336645
1989-05-17,70,10336645
1989-06-03,48,10336645
1989-11-26,3.7,10336645
1990-01-08,10,10336645
1990-02-01,3.7,10336645
1990-02-13,3.7,10336645
1990-03-11,7.2,10336645
1990-03-26,25,10336645
1990-04-06,42,10336645
1990-04-15,65,10336645
1990-04-28,64,10336645
1990-05-10,28,10336645
1990-05-24,20,10336645
1990-06-02,46,10336645
1990-06-16,12,10336645
1991-03-05,30,10336645
1991-03-18,4.5,10336645
1991-03-28,4.4,10336645
1991-04-06,19,10336645
1991-04-15,18,10336645
1991-04-24,25,10336645
1991-05-08,80,10336645
1991-05-16,69,10336645
1991-05-25,95,10336645
1991-06-02,64,10336645
1991-06-29,7.9,10336645
1991-10-26,5.3,10336645
1992-02-22,12,10336645
1992-03-04,8.1,10336645
1992-03-14,9.4,10336645
1992-03-23,8.2,10336645
1992-04-04,43,10336645
1992-04-17,70,10336645
1992-04-26,36,10336645
1992-05-17,5.1,10336645
1992-06-18,8,10336645
1992-12-09,6,10336645
1993-01-07,6,10336645
1993-01-22,21,10336645
1993-02-11,4.5,10336645
1993-02-20,6,10336645
1993-03-15,17,10336645
1993-03-24,53,10336645
1993-04-01,32,10336645
1993-04-09,37,10336645
1993-04-22,58,10336645
1993-05-03,123,10336645
1993-05-18,165,10336645
1993-05-31,164,10336645
1993-06-10,84,10336645
1993-06-18,55,10336645
1993-06-26,26,10336645
