"peak_dt","flow","site_no"
1979-10-27,7470,12167000
1979-11-23,1990,12167000
1979-12-04,7900,12167000
1979-12-14,27900,12167000
1980-01-01,2970,12167000
1980-01-12,5140,12167000
1980-02-03,4160,12167000
1980-02-19,3740,12167000
1980-02-27,16400,12167000
1980-03-11,3030,12167000
1980-03-23,2320,12167000
1980-04-09,2930,12167000
1980-04-20,8220,12167000
1980-04-28,2530,12167000
1980-05-21,2970,12167000
1980-06-01,1590,12167000
1980-06-17,1900,12167000
1980-06-27,1530,12167000
1980-09-02,3680,12167000
1980-09-20,4640,12167000
1980-09-30,2260,12167000
1980-11-08,17200,12167000
1980-11-21,12500,12167000
1980-12-03,3090,12167000
1980-12-15,7070,12167000
1980-12-26,22800,12167000
1981-01-24,1750,12167000
1981-02-16,19000,12167000
1981-03-04,1530,12167000
1981-03-31,4620,12167000
1981-04-09,3690,12167000
1981-04-20,2720,12167000
1981-04-28,10400,12167000
1981-05-15,2170,12167000
1981-05-25,3010,12167000
1981-06-09,5280,12167000
1981-06-19,5770,12167000
1981-09-01,1860,12167000
1981-09-28,3180,12167000
1981-10-06,9430,12167000
1981-10-28,5140,12167000
1981-11-12,4740,12167000
1981-11-22,4220,12167000
1981-12-05,9160,12167000
1981-12-19,5000,12167000
1982-01-16,6320,12167000
1982-01-24,18600,12167000
1982-02-14,27700,12167000
1982-03-01,4130,12167000
1982-03-11,5720,12167000
1982-03-27,1850,12167000
1982-04-04,1520,12167000
1982-04-12,6370,12167000
1982-04-28,3210,12167000
1982-05-07,2530,12167000
1982-05-17,3030,12167000
1982-05-25,3260,12167000
1982-06-06,1550,12167000
1982-06-18,2590,12167000
1982-07-04,2670,12167000
1982-07-15,4210,12167000
1982-08-13,4330,12167000
1982-09-12,1830,12167000
1982-10-07,2200,12167000
1982-10-27,2750,12167000
1982-11-06,4170,12167000
1982-11-17,2890,12167000
1982-12-03,20800,12167000
1982-12-16,5620,12167000
1982-12-26,1620,12167000
1983-01-10,26300,12167000
1983-01-19,2380,12167000
1983-01-27,4190,12167000
1983-02-13,5600,12167000
1983-02-24,4740,12167000
1983-03-09,6850,12167000
1983-03-31,3500,12167000
1983-04-24,1430,12167000
1983-05-08,1540,12167000
1983-05-30,1520,12167000
1983-06-18,4260,12167000
1983-07-02,2860,12167000
1983-07-13,11700,12167000
1983-09-02,3380,12167000
1983-09-11,2920,12167000
1983-10-22,3250,12167000
1983-11-03,8430,12167000
1983-11-16,13500,12167000
1983-11-27,4740,12167000
1983-12-14,3350,12167000
1984-01-04,22900,12167000
1984-01-25,22000,12167000
1984-02-12,5600,12167000
1984-02-21,4830,12167000
1984-02-29,1920,12167000
1984-03-13,3650,12167000
1984-03-21,5760,12167000
1984-04-15,2980,12167000
1984-05-03,4510,12167000
1984-05-12,3860,12167000
1984-05-20,6170,12167000
1984-05-29,3090,12167000
1984-06-08,2300,12167000
1984-06-21,1480,12167000
1984-09-06,2140,12167000
1984-10-12,2560,12167000
1984-10-25,2300,12167000
1984-11-03,9600,12167000
1984-11-11,4340,12167000
1984-11-19,4100,12167000
1984-11-28,4150,12167000
1984-12-08,12800,12167000
1984-12-23,4050,12167000
1985-01-20,2230,12167000
1985-02-15,1970,12167000
1985-02-24,3650,12167000
1985-03-24,1820,12167000
1985-04-03,3960,12167000
1985-04-12,4370,12167000
1985-04-27,7330,12167000
1985-05-18,3480,12167000
1985-05-30,2470,12167000
1985-06-07,7940,12167000
1985-06-15,1890,12167000
