"peak_dt","flow","site_no"
1996-10-30,83,13140800
1996-11-12,79,13140800
1996-11-21,181,13140800
1996-12-13,62,13140800
1997-01-03,604,13140800
1997-01-22,153,13140800
1997-02-01,143,13140800
1997-02-10,110,13140800
1997-02-19,125,13140800
1997-03-02,140,13140800
1997-03-12,141,13140800
1997-03-31,600,13140800
1997-04-11,440,13140800
1997-04-28,1850,13140800
1997-05-18,4520,13140800
1997-06-05,4670,13140800
1997-06-18,3720,13140800
1997-06-27,1530,13140800
1997-07-06,978,13140800
1997-07-16,599,13140800
1997-07-26,425,13140800
1997-08-05,341,13140800
1997-08-26,110,13140800
1997-09-03,114,13140800
1997-09-13,169,13140800
1997-09-25,152,13140800
1997-10-11,200,13140800
1997-10-20,183,13140800
1997-10-28,184,13140800
1997-11-06,187,13140800
1997-11-19,165,13140800
1997-11-27,151,13140800
1998-01-15,62,13140800
1998-01-25,70,13140800
1998-02-04,80,13140800
1998-02-14,88,13140800
1998-02-22,94,13140800
1998-03-03,91,13140800
1998-03-17,114,13140800
1998-03-26,251,13140800
1998-04-04,244,13140800
1998-04-12,238,13140800
1998-04-25,954,13140800
1998-05-11,2560,13140800
1998-05-27,2390,13140800
1998-06-04,2100,13140800
1998-06-14,2770,13140800
1998-06-26,2660,13140800
1998-07-04,2540,13140800
1998-07-28,298,13140800
1998-08-07,173,13140800
1998-08-15,133,13140800
1998-09-17,86,13140800
1998-09-27,119,13140800
1998-10-09,131,13140800
1998-10-17,143,13140800
1998-11-08,129,13140800
1998-11-24,148,13140800
1998-12-04,149,13140800
1999-02-09,68,13140800
1999-02-21,71,13140800
1999-03-02,76,13140800
1999-03-27,284,13140800
1999-04-09,225,13140800
1999-04-21,874,13140800
1999-05-02,1230,13140800
1999-05-30,2770,13140800
1999-06-19,3510,13140800
1999-07-07,927,13140800
1999-07-30,67,13140800
1999-08-13,98,13140800
1999-08-22,65,13140800
1999-09-04,48,13140800
1999-10-13,59,13140800
1999-10-22,80,13140800
1999-11-09,68,13140800
1999-11-18,62,13140800
1999-11-27,79,13140800
1999-12-05,85,13140800
2000-01-25,53,13140800
2000-02-06,54,13140800
2000-02-15,73,13140800
2000-02-28,84,13140800
2000-03-07,103,13140800
2000-03-19,96,13140800
2000-03-29,160,13140800
2000-04-06,362,13140800
2000-04-20,543,13140800
2000-04-29,805,13140800
2000-05-25,1420,13140800
2000-06-08,717,13140800
2000-11-14,51,13140800
2001-02-23,50,13140800
2001-03-11,62,13140800
2001-03-20,92,13140800
2001-04-01,115,13140800
2001-04-12,80,13140800
2001-04-29,137,13140800
2001-05-17,265,13140800
2001-05-27,287,13140800
2002-04-15,665,13140800
2002-04-26,282,13140800
2002-05-05,261,13140800
2002-05-21,556,13140800
2002-06-02,1820,13140800
2002-06-18,460,13140800
2003-04-03,62.3,13140800
2003-04-14,180,13140800
2003-04-26,344,13140800
2003-05-04,175,13140800
2003-05-18,517,13140800
2003-05-31,3870,13140800
2003-06-09,1730,13140800
2003-06-20,947,13140800
2003-06-29,172,13140800
2004-03-26,142,13140800
2004-04-09,409,13140800
2004-04-29,158,13140800
2004-05-07,450,13140800
2004-05-20,89.8,13140800
2004-05-29,76.1,13140800
2004-06-07,404,13140800
2004-06-15,141,13140800
2004-06-29,123,13140800
2004-07-10,53.2,13140800
2004-07-23,60,13140800
2004-08-04,48.7,13140800
2004-08-18,67.9,13140800
2005-04-20,94.6,13140800
2005-04-30,259,13140800
2005-05-10,427,13140800
2005-05-20,3110,13140800
2005-05-29,1780,13140800
2005-06-23,1070,13140800
2005-07-02,567,13140800
2005-11-27,69.5,13140800
2006-03-07,51.4,13140800
2006-03-15,56.3,13140800
2006-04-06,570,13140800
2006-04-16,1160,13140800
2006-05-01,2730,13140800
2006-05-21,5450,13140800
2006-06-09,3860,13140800
2006-06-26,1150,13140800
2006-07-06,667,13140800
2006-07-25,162,13140800
2006-08-19,46.6,13140800
2006-09-04,47.3,13140800
2006-09-26,56.6,13140800
2006-10-11,129,13140800
2006-10-23,119,13140800
2006-11-03,85,13140800
2006-12-15,80,13140800
2007-02-27,50.2,13140800
2007-03-15,109,13140800
2007-03-28,186,13140800
2007-04-10,223,13140800
2007-04-23,59.4,13140800
2007-05-04,177,13140800
2007-05-20,386,13140800
2007-05-30,85.6,13140800
2007-06-12,155,13140800
2007-11-30,53.4,13140800
2008-04-20,159,13140800
2008-05-01,364,13140800
2008-05-09,683,13140800
2008-05-21,1530,13140800
2008-05-29,678,13140800
2008-06-11,416,13140800
2008-06-23,802,13140800
2008-11-10,69.6,13140800
2008-11-18,66.2,13140800
2008-11-29,54.1,13140800
2009-04-02,60,13140800
2009-04-15,138,13140800
2009-04-23,778,13140800
2009-05-03,175,13140800
2009-05-13,252,13140800
2009-05-25,1240,13140800
2009-06-06,1840,13140800
2009-06-21,1800,13140800
2009-07-04,638,13140800
2009-07-30,66.1,13140800
2009-08-09,60.8,13140800
2009-08-17,53.8,13140800
2009-08-29,52.3,13140800
2009-10-11,55,13140800
2009-10-21,160,13140800
2009-10-31,119,13140800
2009-11-12,112,13140800
2010-03-31,97.2,13140800
2010-04-08,79.3,13140800
2010-04-22,670,13140800
2010-05-21,298,13140800
2010-05-29,197,13140800
2010-06-08,2010,13140800
2010-06-16,1150,13140800
2010-06-30,991,13140800
2010-07-12,256,13140800
2010-07-30,48.5,13140800
2010-08-11,65.7,13140800
2010-10-30,69.3,13140800
2010-11-08,94.9,13140800
2011-03-17,67.3,13140800
2011-03-25,69.3,13140800
2011-04-03,167,13140800
2011-04-21,259,13140800
2011-05-08,768,13140800
2011-05-16,1400,13140800
2011-05-26,1310,13140800
2011-06-16,1560,13140800
2011-06-30,2230,13140800
2011-07-12,1120,13140800
2011-08-02,200,13140800
2011-10-07,107,13140800
2011-10-19,154,13140800
2011-11-01,147,13140800
2011-11-13,129,13140800
2011-11-28,51.1,13140800
2011-12-21,55.9,13140800
2011-12-31,59.8,13140800
2012-01-10,68.3,13140800
2012-01-20,56,13140800
2012-01-31,56.2,13140800
2012-02-09,57.3,13140800
2012-02-18,63.4,13140800
2012-03-01,70.2,13140800
2012-03-17,332,13140800
2012-04-01,500,13140800
2012-04-19,628,13140800
2012-04-27,2930,13140800
2012-05-17,1450,13140800
2012-06-05,1540,13140800
2012-06-18,621,13140800
2012-06-26,490,13140800
2012-07-15,81.3,13140800
2012-11-09,56,13140800
2012-11-22,67.9,13140800
2012-12-02,105,13140800
2012-12-17,56.7,13140800
2013-03-21,83.5,13140800
2013-04-07,240,13140800
2013-04-30,92.5,13140800
2013-05-15,682,13140800
2013-05-29,202,13140800
2013-06-11,614,13140800
2013-06-27,86.7,13140800
2013-09-14,178,13140800
2013-09-23,72.8,13140800
2013-10-01,325,13140800
2013-10-14,123,13140800
2013-10-29,104,13140800
2013-11-07,96.9,13140800
2013-11-16,93,13140800
