"peak_dt","flow","site_no"
1979-10-20,332,14097100
1979-12-05,651,14097100
1980-01-06,440,14097100
1980-01-14,3430,14097100
1980-02-03,504,14097100
1980-02-20,619,14097100
1980-02-28,917,14097100
1980-03-14,639,14097100
1980-03-30,450,14097100
1980-04-11,500,14097100
1980-04-21,770,14097100
1980-04-29,675,14097100
1980-06-03,342,14097100
1980-06-14,350,14097100
1980-11-08,378,14097100
1980-12-04,893,14097100
1980-12-26,3190,14097100
1981-01-27,366,14097100
1981-02-19,2840,14097100
1981-03-16,407,14097100
1981-03-26,399,14097100
1981-04-12,370,14097100
1981-04-26,383,14097100
1981-05-19,354,14097100
1981-06-09,614,14097100
1981-11-22,360,14097100
1981-12-06,2480,14097100
1981-12-19,2310,14097100
1982-01-08,477,14097100
1982-01-24,3130,14097100
1982-02-07,539,14097100
1982-02-21,4440,14097100
1982-03-01,1210,14097100
1982-03-12,865,14097100
1982-03-28,603,14097100
1982-04-14,690,14097100
1982-04-29,640,14097100
1982-05-08,674,14097100
1982-05-18,702,14097100
1982-05-26,744,14097100
1982-06-13,596,14097100
1982-06-27,447,14097100
1982-09-20,350,14097100
1982-10-30,474,14097100
1982-11-19,375,14097100
1982-12-06,711,14097100
1982-12-17,975,14097100
1982-12-26,446,14097100
1983-01-08,2470,14097100
1983-01-17,726,14097100
1983-01-27,850,14097100
1983-02-18,3620,14097100
1983-03-13,1680,14097100
1983-03-30,2530,14097100
1983-04-24,629,14097100
1983-05-05,622,14097100
1983-05-16,556,14097100
1983-05-31,588,14097100
1983-06-11,466,14097100
1983-06-19,399,14097100
1983-07-02,393,14097100
1983-07-18,346,14097100
1983-08-30,319,14097100
1983-11-07,330,14097100
1983-11-20,445,14097100
1983-12-06,330,14097100
1983-12-15,1080,14097100
1983-12-26,340,14097100
1984-01-05,1060,14097100
1984-01-25,2370,14097100
1984-02-13,1640,14097100
1984-02-21,825,14097100
1984-03-02,623,14097100
1984-03-17,960,14097100
1984-03-26,792,14097100
1984-04-13,631,14097100
1984-05-03,571,14097100
1984-05-15,608,14097100
1984-05-26,657,14097100
1984-06-06,576,14097100
1984-06-14,484,14097100
1984-06-22,442,14097100
1984-10-14,325,14097100
1984-11-03,1430,14097100
1984-11-11,797,14097100
1984-11-29,556,14097100
1984-12-10,440,14097100
1984-12-21,484,14097100
1984-12-31,387,14097100
1985-01-08,329,14097100
1985-01-22,336,14097100
1985-02-07,332,14097100
1985-02-16,555,14097100
1985-02-24,772,14097100
1985-03-04,557,14097100
1985-03-12,476,14097100
1985-03-24,579,14097100
1985-04-16,788,14097100
1985-05-04,614,14097100
1985-05-15,497,14097100
1985-05-25,612,14097100
1985-06-08,714,14097100
1985-10-23,386,14097100
1985-11-08,394,14097100
1985-11-17,320,14097100
1985-12-07,331,14097100
1986-01-19,1030,14097100
1986-02-03,686,14097100
1986-02-13,390,14097100
1986-02-23,7560,14097100
1986-03-08,1990,14097100
1986-03-24,948,14097100
1986-04-10,710,14097100
1986-04-23,613,14097100
1986-05-03,530,14097100
1986-05-21,461,14097100
1986-07-05,327,14097100
1986-10-31,330,14097100
1986-11-19,362,14097100
1986-11-28,789,14097100
1986-12-23,322,14097100
1987-01-04,330,14097100
1987-02-02,936,14097100
1987-02-14,776,14097100
1987-02-23,503,14097100
1987-03-06,577,14097100
1987-03-15,791,14097100
1987-04-09,504,14097100
1987-04-18,557,14097100
1987-05-01,559,14097100
1987-05-13,488,14097100
1987-05-24,342,14097100
1987-12-02,456,14097100
1987-12-10,1320,14097100
1988-01-15,962,14097100
1988-01-30,511,14097100
1988-02-10,1640,14097100
1988-03-05,626,14097100
1988-03-27,802,14097100
1988-04-04,823,14097100
1988-04-21,1330,14097100
1988-04-29,769,14097100
1988-05-14,582,14097100
1988-05-29,486,14097100
1988-06-07,439,14097100
1988-11-04,350,14097100
1988-11-23,584,14097100
1988-12-14,365,14097100
1988-12-30,337,14097100
1989-01-10,1400,14097100
1989-01-22,594,14097100
1989-02-01,422,14097100
1989-02-24,350,14097100
1989-03-10,991,14097100
1989-03-18,913,14097100
1989-04-09,703,14097100
1989-04-17,792,14097100
1989-04-26,1080,14097100
1989-05-07,671,14097100
1989-05-18,503,14097100
1989-05-28,431,14097100
1989-06-14,355,14097100
1989-12-06,378,14097100
1990-01-09,845,14097100
1990-01-29,343,14097100
1990-02-11,427,14097100
1990-02-27,354,14097100
1990-03-08,377,14097100
1990-03-24,456,14097100
1990-04-08,475,14097100
1990-04-18,508,14097100
1990-04-28,1440,14097100
1990-05-28,451,14097100
1990-06-07,395,14097100
1990-06-23,328,14097100
1990-11-26,389,14097100
1990-12-27,390,14097100
1991-01-15,715,14097100
1991-02-06,456,14097100
1991-02-14,473,14097100
1991-03-05,711,14097100
1991-03-19,346,14097100
1991-04-10,428,14097100
1991-04-25,350,14097100
1991-05-09,361,14097100
1991-05-18,408,14097100
1991-11-06,317,14097100
1991-11-27,633,14097100
1991-12-07,785,14097100
1992-01-29,449,14097100
1992-02-15,320,14097100
1992-02-23,919,14097100
1992-03-06,501,14097100
1992-04-18,798,14097100
1992-04-30,440,14097100
1992-11-22,407,14097100
1993-01-27,405,14097100
1993-02-13,456,14097100
1993-03-09,849,14097100
1993-03-18,2110,14097100
1993-04-04,1090,14097100
1993-04-22,723,14097100
1993-05-04,837,14097100
1993-05-13,726,14097100
1993-05-28,640,14097100
1993-06-06,891,14097100
1993-06-23,381,14097100
1993-12-02,349,14097100
1994-01-05,396,14097100
1994-02-25,326,14097100
1994-03-05,365,14097100
1994-04-07,332,14097100
1994-04-21,399,14097100
1994-05-05,323,14097100
1994-11-01,685,14097100
1994-12-02,522,14097100
1994-12-18,442,14097100
1994-12-28,399,14097100
1995-01-14,2560,14097100
1995-02-02,3240,14097100
1995-02-18,3080,14097100
1995-03-11,774,14097100
1995-03-19,767,14097100
1995-04-13,554,14097100
1995-05-05,797,14097100
1995-06-07,387,14097100
1995-06-15,439,14097100
1995-07-10,341,14097100
1995-11-12,569,14097100
1995-12-01,1570,14097100
1995-12-13,1760,14097100
1995-12-31,1270,14097100
1996-01-08,965,14097100
1996-01-16,1360,14097100
1996-02-07,15800,14097100
1996-02-19,2050,14097100
1996-03-05,1470,14097100
1996-04-01,887,14097100
1996-04-11,733,14097100
1996-04-25,1300,14097100
1996-05-19,725,14097100
1996-06-19,374,14097100
1996-06-27,364,14097100
1996-10-25,353,14097100
1996-11-20,819,14097100
1996-12-05,2360,14097100
1996-12-13,1090,14097100
1996-12-21,595,14097100
1997-01-01,7790,14097100
1997-01-18,940,14097100
1997-02-01,4210,14097100
1997-02-20,1290,14097100
1997-03-02,983,14097100
1997-03-11,1320,14097100
1997-03-21,1590,14097100
1997-04-23,1350,14097100
1997-05-07,917,14097100
1997-05-15,996,14097100
1997-06-01,683,14097100
1997-06-22,433,14097100
1997-07-01,439,14097100
1997-07-10,389,14097100
1997-07-30,355,14097100
1997-08-10,336,14097100
1997-08-24,355,14097100
1997-09-03,341,14097100
1997-09-16,360,14097100
1997-09-27,333,14097100
1997-10-06,383,14097100
1997-10-31,843,14097100
1997-11-25,430,14097100
1997-12-17,421,14097100
1998-01-02,342,14097100
1998-01-18,799,14097100
1998-01-27,732,14097100
1998-02-06,764,14097100
1998-02-21,1190,14097100
1998-03-01,618,14097100
1998-03-24,1030,14097100
1998-04-11,611,14097100
1998-04-25,567,14097100
1998-05-03,712,14097100
1998-05-13,573,14097100
1998-05-21,580,14097100
1998-05-30,1030,14097100
1998-06-08,494,14097100
1998-06-26,355,14097100
1998-11-22,666,14097100
1998-12-02,1170,14097100
1998-12-13,532,14097100
1998-12-28,3160,14097100
1999-01-19,1570,14097100
1999-01-29,843,14097100
1999-02-07,1830,14097100
1999-02-19,1190,14097100
1999-02-28,1140,14097100
1999-03-26,710,14097100
1999-04-27,828,14097100
1999-05-13,649,14097100
1999-05-26,1100,14097100
1999-06-06,818,14097100
1999-06-17,726,14097100
1999-06-25,620,14097100
1999-07-21,414,14097100
1999-08-05,416,14097100
1999-08-14,344,14097100
1999-08-31,340,14097100
1999-09-14,319,14097100
1999-10-06,320,14097100
1999-10-29,403,14097100
1999-11-06,369,14097100
1999-11-17,338,14097100
1999-11-26,1550,14097100
1999-12-07,475,14097100
1999-12-18,642,14097100
2000-01-02,401,14097100
2000-01-10,476,14097100
2000-01-19,420,14097100
2000-02-03,952,14097100
2000-02-12,763,14097100
2000-02-27,1100,14097100
2000-03-11,773,14097100
2000-03-19,949,14097100
2000-03-28,865,14097100
2000-04-05,1030,14097100
2000-04-14,1090,14097100
2000-05-10,791,14097100
2000-05-20,611,14097100
2000-05-28,569,14097100
2000-06-13,499,14097100
2000-07-08,356,14097100
2000-07-17,327,14097100
2000-10-02,319,14097100
2000-10-21,342,14097100
2000-10-29,322,14097100
2000-11-09,334,14097100
2000-11-24,326,14097100
2000-12-15,339,14097100
2001-02-05,317,14097100
2001-03-20,354,14097100
2001-04-01,457,14097100
2001-04-11,338,14097100
2001-04-20,343,14097100
2001-05-01,512,14097100
2001-05-16,546,14097100
2001-11-23,464,14097100
2001-12-02,443,14097100
2001-12-14,797,14097100
2001-12-29,330,14097100
2002-01-07,1160,14097100
2002-01-26,742,14097100
2002-02-09,417,14097100
2002-02-24,597,14097100
2002-03-13,784,14097100
2002-04-15,1750,14097100
2002-05-03,740,14097100
2002-05-20,619,14097100
2002-05-30,675,14097100
2002-06-19,428,14097100
2002-06-30,330,14097100
2002-12-28,341,14097100
2003-01-05,497,14097100
2003-01-13,409,14097100
