"peak_dt","flow","site_no"
1979-10-19,24,10336780
1979-11-26,22,10336780
1979-12-31,23,10336780
1980-01-13,254,10336780
1980-02-06,28,10336780
1980-02-18,79,10336780
1980-02-28,37,10336780
1980-03-08,32,10336780
1980-03-17,31,10336780
1980-03-26,33,10336780
1980-04-05,33,10336780
1980-04-20,81,10336780
1980-05-07,125,10336780
1980-05-22,137,10336780
1980-06-02,102,10336780
1980-06-12,124,10336780
1980-06-21,156,10336780
1980-07-02,156,10336780
1980-08-17,46,10336780
1980-09-08,39,10336780
1980-10-12,22,10336780
1980-11-08,22,10336780
1980-12-04,29,10336780
1981-01-26,27,10336780
1981-02-14,36,10336780
1981-02-25,23,10336780
1981-03-25,27,10336780
1981-04-10,27,10336780
1981-04-19,37,10336780
1981-05-01,52,10336780
1981-05-14,39,10336780
1981-05-27,40,10336780
1981-11-14,65,10336780
1981-11-23,50,10336780
1981-12-20,173,10336780
1981-12-30,47,10336780
1982-01-14,26,10336780
1982-01-23,25,10336780
1982-02-16,242,10336780
1982-03-01,63,10336780
1982-03-11,73,10336780
1982-03-25,45,10336780
1982-04-02,42,10336780
1982-04-11,180,10336780
1982-04-19,88,10336780
1982-04-28,123,10336780
1982-05-08,158,10336780
1982-05-18,153,10336780
1982-05-27,228,10336780
1982-06-10,174,10336780
1982-06-19,232,10336780
1982-06-29,164,10336780
1982-07-27,75,10336780
1982-08-08,61,10336780
1982-08-20,42,10336780
1982-08-29,37,10336780
1982-09-16,43,10336780
1982-09-24,57,10336780
1982-10-30,90,10336780
1982-11-09,34,10336780
1982-11-18,59,10336780
1982-11-29,37,10336780
1982-12-14,30,10336780
1982-12-23,40,10336780
1983-01-25,38,10336780
1983-02-08,36,10336780
1983-02-19,32,10336780
1983-03-02,43,10336780
1983-03-13,121,10336780
1983-03-31,59,10336780
1983-04-09,48,10336780
1983-04-22,63,10336780
1983-05-04,71,10336780
1983-05-16,106,10336780
1983-05-31,315,10336780
1983-06-18,327,10336780
1983-07-02,274,10336780
1983-07-15,194,10336780
1983-08-08,110,10336780
1983-08-21,101,10336780
1983-09-01,80,10336780
1983-09-29,51,10336780
1983-10-11,37,10336780
1983-10-23,34,10336780
1983-11-01,51,10336780
1983-11-17,137,10336780
1983-12-03,56,10336780
1983-12-11,62,10336780
1983-12-25,128,10336780
1984-01-21,48,10336780
1984-02-16,44,10336780
1984-02-24,39,10336780
1984-03-14,55,10336780
1984-03-26,63,10336780
1984-04-08,55,10336780
1984-04-17,80,10336780
1984-05-04,82,10336780
1984-05-14,148,10336780
1984-05-30,216,10336780
1984-06-15,162,10336780
1984-07-18,68,10336780
1984-07-30,49,10336780
1984-08-21,30,10336780
1984-08-29,27,10336780
1984-09-19,25,10336780
1984-10-01,29,10336780
1984-10-11,33,10336780
1984-10-26,29,10336780
1984-11-03,41,10336780
1984-11-11,37,10336780
1984-11-27,34,10336780
1984-12-19,29,10336780
1985-01-20,24,10336780
1985-02-21,24,10336780
1985-03-09,25,10336780
1985-03-20,26,10336780
1985-04-15,84,10336780
1985-04-23,51,10336780
1985-05-02,62,10336780
1985-05-15,51,10336780
1985-05-25,56,10336780
1985-06-02,48,10336780
1985-09-09,24,10336780
1985-12-02,37,10336780
1986-01-05,36,10336780
1986-01-17,53,10336780
1986-01-30,22,10336780
1986-02-18,320,10336780
1986-03-08,328,10336780
1986-03-23,64,10336780
1986-04-01,92,10336780
1986-04-12,79,10336780
1986-04-23,100,10336780
1986-05-03,103,10336780
1986-05-20,131,10336780
1986-06-02,247,10336780
1986-06-12,163,10336780
1986-07-23,71,10336780
1986-08-20,28,10336780
1986-09-01,25,10336780
1986-09-15,24,10336780
1986-09-25,30,10336780
1986-10-14,25,10336780
1986-11-09,24,10336780
1986-11-23,24,10336780
1986-12-04,23,10336780
1986-12-12,23,10336780
1986-12-21,23,10336780
1987-01-03,22,10336780
1987-02-13,44,10336780
1987-03-13,27,10336780
1987-04-03,26,10336780
1987-04-17,34,10336780
1987-04-30,42,10336780
1987-05-09,31,10336780
1987-05-18,33,10336780
1987-06-07,24,10336780
1988-11-23,22,10336780
1989-03-09,46,10336780
1989-03-19,38,10336780
1989-04-01,50,10336780
1989-04-11,60,10336780
1989-04-20,66,10336780
1989-05-09,76,10336780
1989-05-23,60,10336780
1989-06-03,75,10336780
1989-06-27,45,10336780
1989-08-08,26,10336780
1989-10-24,23,10336780
1990-03-25,25,10336780
1990-04-04,26,10336780
1990-04-14,34,10336780
1990-04-28,34,10336780
1990-05-10,37,10336780
1990-05-31,31,10336780
1990-06-14,24,10336780
1991-03-04,53,10336780
1991-04-06,30,10336780
1991-04-30,25,10336780
1991-05-08,41,10336780
1991-05-17,35,10336780
1991-05-25,43,10336780
1991-06-05,52,10336780
1991-06-28,29,10336780
1991-10-26,43,10336780
1992-04-04,22,10336780
1992-04-17,27,10336780
1992-04-30,29,10336780
1992-05-08,27,10336780
1992-05-17,25,10336780
1992-12-10,23,10336780
1993-01-22,68,10336780
1993-03-17,66,10336780
1993-04-04,49,10336780
1993-04-22,57,10336780
1993-05-03,86,10336780
1993-05-12,105,10336780
1993-05-25,140,10336780
1993-06-05,116,10336780
1993-06-20,137,10336780
1993-08-31,24,10336780
1993-10-05,25,10336780
1993-10-15,27,10336780
1994-03-16,24,10336780
1994-04-03,26,10336780
1994-04-19,38,10336780
1994-05-06,38,10336780
1994-05-19,33,10336780
1994-05-31,31,10336780
1994-11-06,27,10336780
1995-01-14,38,10336780
1995-03-10,144,10336780
1995-03-20,73,10336780
1995-04-13,62,10336780
1995-05-01,173,10336780
1995-05-11,86,10336780
1995-05-23,126,10336780
1995-06-05,250,10336780
1995-06-14,217,10336780
1995-06-26,280,10336780
1995-07-08,265,10336780
1995-08-21,63,10336780
1995-09-04,46,10336780
1995-10-01,31,10336780
1995-10-27,25,10336780
1995-11-05,24,10336780
1995-11-26,25,10336780
1995-12-04,31,10336780
1995-12-12,97,10336780
1995-12-31,25,10336780
1996-01-16,45,10336780
1996-02-05,93,10336780
1996-02-19,56,10336780
1996-03-06,46,10336780
1996-03-21,59,10336780
1996-04-02,61,10336780
1996-04-16,116,10336780
1996-05-02,130,10336780
1996-05-16,267,10336780
1996-05-27,132,10336780
1996-06-08,210,10336780
1996-06-26,121,10336780
1996-07-13,80,10336780
1996-08-13,38,10336780
1996-10-01,23,10336780
1996-10-25,23,10336780
1996-11-18,86,10336780
1996-12-05,96,10336780
1996-12-21,35,10336780
1997-01-02,501,10336780
1997-01-28,68,10336780
1997-02-08,55,10336780
1997-03-01,46,10336780
1997-03-16,57,10336780
1997-03-27,82,10336780
1997-04-28,97,10336780
1997-05-20,187,10336780
1997-06-04,150,10336780
1997-06-14,176,10336780
1997-09-03,27,10336780
1997-09-15,22,10336780
1997-10-09,22,10336780
1997-12-09,22,10336780
1998-01-15,42,10336780
1998-02-03,30,10336780
1998-02-16,24,10336780
1998-03-24,183,10336780
1998-04-10,38,10336780
1998-04-23,77,10336780
1998-05-06,100,10336780
1998-05-16,75,10336780
1998-05-25,84,10336780
1998-06-02,93,10336780
1998-06-13,168,10336780
1998-06-22,210,10336780
1998-07-03,199,10336780
1998-07-23,108,10336780
1998-08-15,53,10336780
1998-09-09,43,10336780
1998-09-27,35,10336780
1998-10-15,28,10336780
1998-10-26,30,10336780
1998-11-12,27,10336780
1998-11-20,29,10336780
1998-11-30,39,10336780
1998-12-31,25,10336780
1999-01-09,26,10336780
1999-01-20,36,10336780
1999-02-01,26,10336780
1999-02-10,51,10336780
1999-02-18,33.7,10336780
1999-03-03,39,10336780
1999-03-19,37,10336780
1999-03-27,46,10336780
1999-04-04,41,10336780
1999-04-20,83,10336780
1999-05-02,79,10336780
1999-05-13,114,10336780
1999-05-28,240,10336780
1999-06-06,149,10336780
1999-06-18,203,10336780
1999-08-04,45,10336780
1999-08-15,38,10336780
1999-08-27,33,10336780
1999-09-11,28,10336780
1999-09-19,27,10336780
1999-10-07,23,10336780
1999-10-20,22,10336780
1999-10-28,40.1,10336780
1999-11-20,26,10336780
1999-12-04,22,10336780
1999-12-29,25,10336780
2000-01-06,22,10336780
2000-01-15,24,10336780
2000-01-24,47,10336780
2000-02-14,80,10336780
2000-02-27,29,10336780
2000-03-10,27,10336780
2000-03-19,36,10336780
2000-03-27,38,10336780
2000-04-05,46,10336780
2000-04-13,59,10336780
2000-04-27,48,10336780
2000-05-08,76,10336780
2000-05-24,77,10336780
2000-06-08,57,10336780
2000-07-11,25,10336780
2000-07-19,22,10336780
2000-08-04,25,10336780
2001-03-21,22,10336780
2001-03-29,25,10336780
2001-04-19,23,10336780
2001-05-01,32,10336780
2001-05-12,39,10336780
2001-11-22,26.3,10336780
2002-04-05,43.8,10336780
2002-04-15,55.9,10336780
2002-04-26,39.8,10336780
2002-05-07,42.9,10336780
2002-05-19,57.4,10336780
2002-06-02,62.8,10336780
2002-07-04,22.4,10336780
2002-11-08,45.6,10336780
2003-01-28,21.2,10336780
2003-03-15,30.2,10336780
2003-03-26,40.9,10336780
2003-04-03,38.9,10336780
2003-04-14,84,10336780
2003-04-24,35.6,10336780
2003-05-04,38,10336780
2003-05-30,130,10336780
2003-07-24,29.8,10336780
2003-08-02,28.7,10336780
2003-08-22,24.5,10336780
2004-03-23,47.1,10336780
2004-04-13,43.5,10336780
2004-04-28,43.2,10336780
2004-05-06,52.3,10336780
2004-05-17,42.4,10336780
2004-05-28,50.4,10336780
2004-06-06,41.7,10336780
2004-06-25,25.2,10336780
2005-03-13,23.6,10336780
2005-03-29,23.6,10336780
2005-04-07,30.3,10336780
2005-04-18,43,10336780
2005-05-01,55.1,10336780
2005-05-09,69,10336780
2005-05-19,153,10336780
2005-05-27,170,10336780
2005-06-09,126,10336780
2005-06-17,123,10336780
2005-07-27,38.2,10336780
2005-08-16,27.6,10336780
2005-08-26,21.6,10336780
2005-10-25,28.3,10336780
2005-12-02,59.4,10336780
2005-12-22,89.7,10336780
2005-12-31,440,10336780
2006-01-16,49.7,10336780
2006-01-24,37.1,10336780
2006-02-02,48.1,10336780
2006-02-18,35.4,10336780
