"peak_dt","flow","site_no"
1994-02-17,92,11208600
1994-03-05,126,11208600
1994-03-16,153,11208600
1994-03-25,86,11208600
1994-04-03,216,11208600
1994-04-20,563,11208600
1994-05-05,481,11208600
1994-05-14,789,11208600
1994-05-31,588,11208600
1994-06-11,371,11208600
1994-06-21,129,11208600
1994-09-29,61,11208600
1995-01-07,116,11208600
1995-01-15,477,11208600
1995-01-26,135,11208600
1995-02-06,150,11208600
1995-02-14,344,11208600
1995-02-26,200,11208600
1995-03-10,1760,11208600
1995-03-21,904,11208600
1995-04-06,533,11208600
1995-04-18,341,11208600
1995-04-30,2100,11208600
1995-05-12,885,11208600
1995-05-21,1120,11208600
1995-06-05,1810,11208600
1995-06-13,1940,11208600
1995-06-28,2050,11208600
1995-07-08,1830,11208600
1995-07-17,1320,11208600
1995-07-28,764,11208600
1995-08-14,209,11208600
1995-08-22,233,11208600
1995-09-03,132,11208600
1995-12-12,467,11208600
1996-01-02,79,11208600
1996-01-17,272,11208600
1996-01-28,142,11208600
1996-02-05,1910,11208600
1996-02-20,1520,11208600
1996-03-05,453,11208600
1996-03-22,519,11208600
1996-04-09,622,11208600
1996-04-18,712,11208600
1996-05-01,1310,11208600
1996-05-16,2500,11208600
1996-06-05,1270,11208600
1996-06-23,416,11208600
1996-07-03,342,11208600
1996-07-12,299,11208600
1996-07-24,64,11208600
1996-08-14,52,11208600
1996-11-22,1380,11208600
1996-12-11,1620,11208600
1996-12-22,260,11208600
1997-01-02,9800,11208600
1997-01-15,490,11208600
1997-01-26,1910,11208600
1997-02-17,330,11208600
1997-02-28,273,11208600
1997-03-16,374,11208600
1997-03-26,590,11208600
1997-04-27,783,11208600
1997-05-14,1210,11208600
1997-05-31,1060,11208600
1997-06-08,639,11208600
1997-06-20,604,11208600
1997-07-04,192,11208600
1997-07-14,120,11208600
1997-07-24,237,11208600
1997-08-19,68,11208600
1997-09-03,64,11208600
1997-11-26,59,11208600
1997-12-06,159,11208600
1998-01-15,324,11208600
1998-02-02,325,11208600
1998-02-14,444,11208600
1998-02-23,787,11208600
1998-03-06,209,11208600
1998-03-16,258,11208600
1998-03-25,788,11208600
1998-04-03,413,11208600
1998-04-12,466,11208600
1998-04-30,1220,11208600
1998-05-10,773,11208600
1998-05-25,1050,11208600
1998-06-03,1970,11208600
1998-06-16,2590,11208600
1998-07-02,2440,11208600
1998-07-12,1830,11208600
1998-07-20,1530,11208600
1998-08-03,514,11208600
1998-08-12,347,11208600
1998-09-04,322,11208600
1998-09-30,107,11208600
1998-10-16,64,11208600
1998-10-25,72,11208600
1998-12-01,166,11208600
1998-12-13,66,11208600
1999-01-20,198,11208600
1999-01-31,68,11208600
1999-02-09,216,11208600
1999-02-18,100,11208600
1999-03-02,137,11208600
1999-03-14,53,11208600
1999-03-23,93,11208600
