"peak_dt","flow","site_no"
1993-10-08,28,9067200
1993-10-16,31,9067200
1993-10-25,26,9067200
1994-04-24,58,9067200
1994-05-09,72,9067200
1994-05-20,258,9067200
1994-06-01,403,9067200
1994-06-12,218,9067200
1994-06-22,279,9067200
1994-07-03,75,9067200
1994-07-15,41,9067200
1994-07-25,37,9067200
1994-08-02,36,9067200
1994-08-20,30,9067200
1994-09-02,45,9067200
1994-09-14,28,9067200
1994-10-06,30,9067200
1994-10-21,30,9067200
1994-10-29,25,9067200
1995-05-02,23,9067200
1995-05-12,32,9067200
1995-05-23,81,9067200
1995-06-08,227,9067200
1995-06-16,845,9067200
1995-06-27,299,9067200
1995-07-14,487,9067200
1995-07-26,250,9067200
1995-08-12,152,9067200
1995-08-24,191,9067200
1995-09-08,62,9067200
1995-09-21,37,9067200
1995-09-29,46,9067200
1995-10-13,46,9067200
1995-10-22,37,9067200
1995-11-01,38,9067200
1995-11-11,33,9067200
1995-11-28,30,9067200
1996-04-11,36,9067200
1996-04-27,44,9067200
1996-05-09,117,9067200
1996-05-17,333,9067200
1996-05-26,210,9067200
1996-06-06,379,9067200
1996-06-22,533,9067200
1996-07-05,190,9067200
1996-07-17,124,9067200
1996-07-30,71,9067200
1996-08-13,37,9067200
1996-09-07,27,9067200
1996-09-15,40,9067200
1996-09-25,50,9067200
1996-10-04,45,9067200
1996-10-19,35,9067200
1996-10-29,32,9067200
1996-11-08,29,9067200
1996-11-16,28,9067200
1996-12-01,23,9067200
1997-04-21,36,9067200
1997-04-29,38,9067200
1997-05-22,332,9067200
1997-06-05,587,9067200
1997-06-20,563,9067200
1997-06-29,363,9067200
1997-07-11,188,9067200
1997-07-19,154,9067200
1997-07-30,156,9067200
1997-08-07,195,9067200
1997-08-26,82,9067200
1997-09-07,54,9067200
1997-09-23,76,9067200
1997-10-03,61,9067200
1997-10-12,48,9067200
1997-10-24,43,9067200
1997-11-04,34,9067200
1997-11-18,28,9067200
1997-11-27,23,9067200
1998-04-25,32,9067200
1998-05-11,60,9067200
1998-05-21,169,9067200
1998-06-03,282,9067200
1998-06-13,130,9067200
1998-06-28,296,9067200
1998-07-11,233,9067200
1998-07-25,189,9067200
1998-08-05,88,9067200
1998-08-18,46,9067200
1998-09-02,44,9067200
1998-09-13,40,9067200
1998-10-04,27,9067200
