"peak_dt","flow","site_no"
1993-08-17,191,6073500
1993-08-30,217,6073500
1993-09-13,248,6073500
1993-09-21,272,6073500
1993-10-07,191,6073500
1993-10-17,197,6073500
1993-10-28,180,6073500
1993-11-13,152,6073500
1993-11-30,110,6073500
1993-12-09,126,6073500
1993-12-22,85,6073500
1993-12-31,100,6073500
1994-01-13,92,6073500
1994-01-21,103,6073500
1994-01-29,78,6073500
1994-02-17,120,6073500
1994-03-02,150,6073500
1994-03-10,92,6073500
1994-03-23,114,6073500
1994-04-04,156,6073500
1994-04-14,287,6073500
1994-04-25,910,6073500
1994-05-10,906,6073500
1994-05-20,1120,6073500
1994-06-07,370,6073500
1994-06-16,280,6073500
1994-07-06,133,6073500
1994-07-17,114,6073500
1994-07-26,92,6073500
1994-10-07,66,6073500
1994-10-16,93,6073500
1994-10-29,160,6073500
1994-11-15,88,6073500
1994-11-30,113,6073500
1994-12-09,90,6073500
1994-12-17,100,6073500
1995-01-10,130,6073500
1995-01-19,127,6073500
1995-01-31,120,6073500
1995-02-19,178,6073500
1995-03-10,175,6073500
1995-03-21,121,6073500
1995-04-15,178,6073500
1995-04-23,173,6073500
1995-05-07,3970,6073500
1995-05-18,1640,6073500
1995-06-04,1430,6073500
1995-06-13,1590,6073500
1995-07-13,374,6073500
1995-08-17,89,6073500
1995-09-09,119,6073500
1995-09-19,79,6073500
1995-10-01,64,6073500
1995-10-13,77,6073500
1995-10-22,81,6073500
1995-11-01,73,6073500
1995-11-09,85,6073500
1995-11-18,102,6073500
1995-12-02,189,6073500
1995-12-13,150,6073500
1995-12-25,120,6073500
1996-01-08,312,6073500
1996-01-21,70,6073500
1996-02-07,700,6073500
1996-02-19,159,6073500
1996-03-02,120,6073500
1996-03-13,325,6073500
1996-03-26,120,6073500
1996-04-03,199,6073500
1996-04-11,828,6073500
1996-04-25,549,6073500
1996-05-18,670,6073500
1996-05-28,1330,6073500
1996-06-05,973,6073500
1996-06-17,534,6073500
1996-07-23,103,6073500
1996-12-09,75,6073500
1997-01-01,150,6073500
1997-01-31,90,6073500
1997-02-15,64,6073500
1997-03-17,120,6073500
1997-03-28,218,6073500
1997-04-07,142,6073500
1997-04-21,483,6073500
1997-04-29,473,6073500
1997-05-07,527,6073500
1997-05-17,1150,6073500
1997-06-01,917,6073500
1997-06-13,1070,6073500
1997-07-02,396,6073500
1997-07-20,274,6073500
1997-08-06,112,6073500
1997-08-17,364,6073500
1997-08-28,147,6073500
1997-09-15,107,6073500
1997-09-28,81,6073500
1997-10-08,91,6073500
1997-10-24,92,6073500
1997-11-01,100,6073500
1997-11-17,80,6073500
1997-12-13,75,6073500
1997-12-29,80,6073500
1998-01-15,65,6073500
1998-03-26,69,6073500
1998-04-08,74,6073500
1998-04-17,92,6073500
1998-04-25,256,6073500
1998-05-04,403,6073500
1998-05-23,292,6073500
1998-05-31,234,6073500
1998-06-20,2940,6073500
1998-07-04,719,6073500
1998-07-28,144,6073500
1998-08-15,75,6073500
1998-10-10,83,6073500
1998-10-28,64,6073500
1998-11-05,64,6073500
1998-11-14,68,6073500
1998-11-24,67,6073500
1998-12-02,69,6073500
1998-12-12,65,6073500
1999-03-27,134,6073500
1999-04-10,94,6073500
1999-04-22,211,6073500
1999-05-04,470,6073500
1999-05-15,375,6073500
1999-05-26,999,6073500
1999-06-04,1110,6073500
1999-06-17,573,6073500
1999-06-25,374,6073500
1999-07-06,250,6073500
1999-08-12,93,6073500
1999-11-27,65,6073500
2000-04-14,103,6073500
2000-04-23,251,6073500
2000-05-03,258,6073500
2000-05-23,123,6073500
2000-06-05,197,6073500
2000-06-17,119,6073500
2000-06-29,74,6073500
2000-10-13,87,6073500
2000-10-22,86,6073500
2001-04-11,67,6073500
2001-04-21,132,6073500
2001-04-29,842,6073500
2001-05-14,698,6073500
2001-05-26,348,6073500
2001-06-04,268,6073500
2001-06-14,770,6073500
2001-07-13,99,6073500
2001-07-31,83,6073500
2002-03-13,80,6073500
2002-04-07,82.9,6073500
2002-04-15,230,6073500
2002-04-24,159,6073500
2002-05-07,215,6073500
2002-05-21,924,6073500
2002-05-30,967,6073500
2002-06-16,1610,6073500
2002-07-28,102,6073500
2002-08-08,95.2,6073500
2002-08-22,77.9,6073500
2002-09-07,76.4,6073500
2002-09-28,63.8,6073500
2002-11-05,70,6073500
2002-12-09,63.2,6073500
2003-03-13,905,6073500
2003-03-23,149,6073500
2003-04-02,184,6073500
2003-04-14,358,6073500
2003-04-25,448,6073500
2003-05-04,323,6073500
2003-05-16,551,6073500
2003-05-26,722,6073500
2003-06-09,310,6073500
2003-06-20,200,6073500
2004-04-02,101,6073500
2004-04-15,243,6073500
2004-04-25,176,6073500
2004-05-06,385,6073500
2004-05-28,820,6073500
2004-06-06,477,6073500
2004-06-17,262,6073500
2004-06-26,197,6073500
2004-07-05,212,6073500
2004-07-28,65.8,6073500
2004-12-25,73.7,6073500
2005-01-24,76.6,6073500
2005-03-29,73.9,6073500
2005-04-14,108,6073500
2005-04-27,456,6073500
2005-05-11,3050,6073500
2005-06-03,574,6073500
2005-06-13,397,6073500
2005-06-29,237,6073500
2005-07-17,87.5,6073500
2006-04-07,744,6073500
2006-04-16,370,6073500
2006-05-01,431,6073500
2006-05-19,603,6073500
2006-05-28,437,6073500
2006-06-11,917,6073500
2006-07-06,131,6073500
2006-07-24,64.3,6073500
2006-10-21,65,6073500
2006-11-09,248,6073500
2006-11-22,114,6073500
2006-11-30,100,6073500
2006-12-15,82.9,6073500
2006-12-25,121,6073500
2007-01-02,159,6073500
2007-01-24,85,6073500
2007-02-05,100,6073500
2007-02-17,100,6073500
2007-02-25,80.2,6073500
2007-03-06,70.8,6073500
2007-03-14,124,6073500
2007-03-27,178,6073500
2007-04-18,186,6073500
2007-05-03,634,6073500
2007-05-13,436,6073500
