"TMP","APCP","ASNOW","ARAIN","SNOM","SOILM5","WEASD","date"
-21.3948003387451,0,0,0,0,432.586518554687,101.8,"1979-01-02"
-15.1980166244507,7.22732797622681,7.2275,0,0,432.539080810547,108.64,"1979-01-03"
-12.5758335876465,1.51126397609711,1.511318359375,0,0,432.478383789062,109.78,"1979-01-04"
-16.7422831344605,0.910440011024475,0.910546875,0,0,432.416682128906,110.735,"1979-01-05"
-17.4067504119873,0,0,0,0,432.362644042969,110.47,"1979-01-06"
-22.2904827880859,0,0,0,0,432.309869384766,110.18,"1979-01-07"
-17.3350333404541,0,0,0,0,432.245759277344,109.965,"1979-01-08"
-13.8103666305542,0,0,0,0,432.188023681641,109.965,"1979-01-09"
-11.6826334762573,4.7235040473938,4.72341064453125,0,0,432.133273925781,114.515,"1979-01-10"
-7.67186664581299,11.1768197250366,11.176728515625,0,0,432.0723828125,125.26,"1979-01-11"
-8.32826644897461,2.74415598869324,2.7441015625,0,0,432.023983154297,127.17,"1979-01-12"
-15.2536003494263,0,0,0,0,431.961945800781,127.04,"1979-01-13"
-16.0362998580933,0.810816004276276,0.8108203125,0,0,431.909827880859,127.61,"1979-01-14"
-11.6227334213257,5.30816011428833,5.3080322265625,0,0,431.849926757813,132.61,"1979-01-15"
-12.3671167373657,1.8604480266571,1.860478515625,0,0,431.79103515625,134.09,"1979-01-16"
-14.3784499359131,0,0,0,0,431.736804199219,134.02,"1979-01-17"
-9.32428352355957,3.06553606986999,3.06557861328125,0,0,431.67255859375,137.145,"1979-01-18"
-13.4525666046143,0.0763359996676445,0.076337890625,0,0,431.623525390625,137.165,"1979-01-19"
-12.6423330688477,0,0,0,0,431.556796875,136.85,"1979-01-20"
-9.71564989089966,1.31972801208496,1.3197607421875,0,0,431.510780029297,137.95,"1979-01-21"
-13.6700331497192,1.73821197509766,1.73817626953125,0,0,431.454622802734,139.22,"1979-01-22"
-18.6235837554932,0,0,0,0,431.390532226563,139.02,"1979-01-23"
-12.5113168716431,4.78019190788269,4.7801953125,0,0,431.340740966797,143.315,"1979-01-24"
-14.1121500778198,45.2376166534424,45.237578125,0,0,431.277465820312,188.55,"1979-01-25"
-18.9461500167847,3.12813596248627,3.1281201171875,0,0,431.229285888672,191.545,"1979-01-26"
-20.4226833343506,0,0,0,0,431.163957519531,191.655,"1979-01-27"
-20.1747327423096,0,0,0,0,431.104700927734,191.655,"1979-01-28"
-22.0820336151123,0,0,0,0,431.054724121094,191.625,"1979-01-29"
-24.017233581543,0.0577640008926392,0.057763671875,0,0,430.988012695312,191.645,"1979-01-30"
-23.0097334289551,0,0,0,0,430.937204589844,191.665,"1979-01-31"
-18.1653335189819,2.18654401779175,2.1866650390625,0,0,430.879562988281,193.79,"1979-02-01"
-20.2078996276855,0,0,0,0,430.825053710937,193.67,"1979-02-02"
-19.4204494476318,0.00359600000083447,0.0035986328125,0,0,430.771395263672,193.41,"1979-02-03"
-18.0494498825073,0.751155998706818,0.75122802734375,0,0,430.703159179687,194.155,"1979-02-04"
-14.8782498550415,0,0,0,0,430.656669921875,194.005,"1979-02-05"
-12.981900138855,0,0,0,0,430.594870605469,193.645,"1979-02-06"
-10.2485497665405,2.05934404373169,2.059375,0,0,430.537531738281,194.96,"1979-02-07"
-13.0073498153687,0.755739991664886,0.7556884765625,0,0,430.488823242187,195.17,"1979-02-08"
-9.423466796875,0.169219996035099,0.169228515625,0,0,430.423631591797,195.2,"1979-02-09"
-9.11264991760254,0,0,0,0,430.364083251953,194.72,"1979-02-10"
-6.38901660919189,0.188167997002602,0.18818359375,0,0,430.312663574219,193.23,"1979-02-11"
-5.81394995689392,0,0,0,0.031640625,430.255482177734,190.77,"1979-02-12"
-3.20128335475922,0.744376001358032,0.744423828125,0,0.0412744140625,430.233571777344,187.07,"1979-02-13"
-3.87826671123505,11.4312117767334,11.4312548828125,0,0.0081005859375,430.213034667969,196.35,"1979-02-14"
-10.3906334114075,0.8525199842453,0.852451171875,0,0,430.149796142578,196.35,"1979-02-15"
-13.5175996398926,0.134148001074791,0.13404296875,0,0,430.094615478516,196.34,"1979-02-16"
-11.7463833999634,0.158451997041702,0.15828125,0,0,430.040119628906,196.12,"1979-02-17"
-11.5838832473755,0,0,0,0,429.984991455078,195.71,"1979-02-18"
-9.33046688079834,0.351192002296448,0.351220703125,0,0,429.929932861328,195.43,"1979-02-19"
-11.9507981872559,0.291391998529434,0.2914013671875,0,0,429.872468261719,195.27,"1979-02-20"
-11.9839649963379,6.59335618972778,6.5934912109375,0,0,429.812535400391,201.51,"1979-02-21"
-11.3959168243408,4.92412002563477,4.9239306640625,0,0,429.765714111328,206.49,"1979-02-22"
-13.8517497253418,0.0694800026714802,0.06947021484375,0,0,429.703704833984,206.49,"1979-02-23"
-13.881600189209,0.0718639993667603,0.071865234375,0,0,429.646762695312,206.32,"1979-02-24"
-10.2038168525696,0.0117360001802444,0.0117431640625,0,0,429.588690185547,206.1,"1979-02-25"
-6.59712998390198,0,0,0,0.047783203125,429.535194091797,205.49,"1979-02-26"
-7.5971167755127,0.772912013530731,0.772939453125,0,0.0126806640625,429.537880859375,206.04,"1979-02-27"
-10.1977335166931,0,0,0,0,429.478819580078,205.6,"1979-02-28"
-8.36409994125366,1.91389998435974,1.91390869140625,0,0.0002734375,429.416691894531,206.73,"1979-03-01"
-8.79981679916382,1.24356399059296,1.24342041015625,0,0,429.355266113281,207.57,"1979-03-02"
-14.6964498519897,0,0,0,0,429.304361572266,207.45,"1979-03-03"
-12.1053786468506,0,0,0,0,429.245914306641,207.41,"1979-03-04"
-7.10721345901489,0,0,0,0.0576416015625,429.194588623047,206.91,"1979-03-05"
-5.17246510505676,0,0,0,0.2775830078125,429.222451171875,206.01,"1979-03-06"
-2.95555001735687,0,0,0,0.98658203125,429.561372070312,204.1,"1979-03-07"
-7.07013338088989,0.178560000658035,0.1785888671875,0,0.1141162109375,430.348870849609,202.92,"1979-03-08"
-13.0446664047241,0.922491997480392,0.9224951171875,0,0,430.296157226563,203.66,"1979-03-09"
-9.52194858551025,0,0,0,0.14576904296875,430.252513427734,203.32,"1979-03-10"
-3.59411337852478,0,0,0,0.88739501953125,430.417888183594,202,"1979-03-11"
-3.78865005970001,0,0,0,0.70959228515625,431.30431640625,200.41,"1979-03-12"
-5.69828322410584,0,0,0,0.27760009765625,431.730302734375,198.55,"1979-03-13"
-4.30179996490479,0,0,0,1.137255859375,432.011214599609,197.09,"1979-03-14"
-3.58116664886475,0,0,0,1.2248876953125,433.087908935547,195.52,"1979-03-15"
-3.77323331356049,0.917655987739563,0.82287109375,0.094775390625,0.22821044921875,434.016917724609,194.79,"1979-03-16"
-6.1677635383606,5.34598388671875,5.3458740234375,0,0.008583984375,434.040606689453,198.97,"1979-03-17"
-7.12638151168823,1.11432401418686,1.11442626953125,0,0.01587890625,433.987436523438,199.7,"1979-03-18"
-7.73072677612305,0.933991982936859,0.9340087890625,0,0,433.936292724609,200.58,"1979-03-19"
-8.65449657440186,0,0,0,0,433.887567138672,200.28,"1979-03-20"
-7.32770849227905,0,0,0,0.1135302734375,433.841315917969,199.99,"1979-03-21"
