"TMP","APCP","ASNOW","ARAIN","SNOM","SOILM5","WEASD","date"
-17.5028778496435,0,0,0,0,298.425513833256,14.4184322033898,"1979-01-02"
-11.5245480214135,0.390284745875051,0.390269134004237,0,0,298.266333757821,14.5370762711864,"1979-01-03"
-7.52597457271511,0.242280510459411,0.242302328853284,0,0.000859664658368644,298.107518600205,14.4978813559322,"1979-01-04"
-7.30128528304019,0.267118642390785,0.267122947563559,0,0,297.949362027443,14.9533898305085,"1979-01-05"
-13.3239512120263,0,0,0,0,297.790594973807,15.0540254237288,"1979-01-06"
-15.1204873828565,0,0,0,0,297.63127614684,15.1440677966102,"1979-01-07"
-14.6021784604606,0,0,0,0,297.470763125662,15.0021186440678,"1979-01-08"
-9.09521540544801,3.60642624709566,3.60644582974709,0,0,297.314313209663,18.5752118644068,"1979-01-09"
-6.64076615592181,4.82646608150611,4.82650084414725,0,0,297.154117778196,23.4830508474576,"1979-01-10"
-1.20885238859613,27.0504637168626,24.16253196587,2.88801910917638,6.01934400655456,298.247702129817,44.5911016949153,"1979-01-11"
-0.235610856721967,2.18774493063911,0.938094834149894,1.24958413334216,1.59408672785355,303.703982983605,44.0826271186441,"1979-01-12"
-8.74424427646702,0,0,0,0,303.651482274977,44.2002118644068,"1979-01-13"
-9.21008469694752,1.1399025492749,1.13996240648173,0,0,303.492542848749,45.1875,"1979-01-14"
-4.60828390565969,1.4435915350914,1.41591838254767,0.0276178909560381,6.20696504237288e-06,303.3347368402,46.3877118644068,"1979-01-15"
-3.90636653718302,5.21906015832545,5.21904793432203,0,3.10348252118644e-05,303.176052158162,51.6377118644068,"1979-01-16"
-8.23294852547726,0.0810161001893487,0.0810877913135593,0,0,303.016542596332,51.9618644067797,"1979-01-17"
-6.85670902365345,4.88872883077395,4.88875515178098,0,0,302.856506994215,56.8082627118644,"1979-01-18"
-9.61991512977471,0.795535592204433,0.795536364539195,0,0,302.697208469197,57.8877118644068,"1979-01-19"
-7.01479159371328,0,0,0,0,302.537135366666,58.3061440677966,"1979-01-20"
-6.65926194595078,0.119955934868273,0.119972358315678,0,0,302.378659264516,58.7129237288136,"1979-01-21"
-7.69563562991255,0.36965000250582,0.369657872086864,0,0,302.218310081353,58.8379237288136,"1979-01-22"
-13.1872068098036,0.082350847074541,0.082359184653072,0,0,302.06044394283,58.9745762711864,"1979-01-23"
-11.3398093530687,0.118192374453706,0.118464583057468,0,0,301.899827084299,58.9925847457627,"1979-01-24"
-9.34796611333297,4.74534747560145,4.74537425930217,0,0,301.742427890584,63.6694915254237,"1979-01-25"
-10.7765854011148,0.828376274240219,0.828336036811441,0,0,301.581758790097,64.4841101694915,"1979-01-26"
-15.0392512547768,0.0344593218859222,0.0344460697497352,0,0,301.423073590812,64.551906779661,"1979-01-27"
-12.3935346684213,0.141389831616464,0.141378111758475,0,0,301.262048236394,64.7542372881356,"1979-01-28"
-16.4451659978446,0.474735596548703,0.474735583289195,0,0,301.102545786712,65.291313559322,"1979-01-29"
-18.12464313992,0,0,0,0,300.94254044355,65.3527542372881,"1979-01-30"
-17.1727330482612,0.331863555741512,0.331812971729343,0,0,300.78372644974,65.7213983050847,"1979-01-31"
-11.9309181358855,0.458499149245731,0.458566439353814,0,0,300.624146154371,66.2468220338983,"1979-02-01"
-11.4633193985891,0.0699415266892668,0.0699597374867585,0,0,300.465655052056,66.3771186440678,"1979-02-02"
-14.1690006256104,0.0317855932102618,0.0317631091101695,0,0,300.305425352969,66.4639830508475,"1979-02-03"
-8.85850642091137,1.56539488646944,1.56537485930879,0,0,300.146652738927,68.2733050847458,"1979-02-04"
-8.82451627214076,0.0382881361233481,0.0382835258871822,0,0,299.987431542348,68.5900423728814,"1979-02-05"
-3.24275419469607,3.20116777743323,3.2008056640625,0.000365176443326271,0,299.827644606768,71.8485169491525,"1979-02-06"
-2.21135241601427,0.153023728374707,0.139177225403867,0.0138668771517479,0.240219892081568,299.68446957863,71.1504237288136,"1979-02-07"
-1.48589337579275,0.682092367339942,0.597002449682203,0.0851005942134534,0.615241616459216,299.849626444154,70.7341101694915,"1979-02-08"
-1.68564263440795,0,0,0,0.468907243114407,300.195948843229,70.1652542372881,"1979-02-09"
-1.84717160368622,0,0,0,0.562172065346928,300.451312954143,69.385593220339,"1979-02-10"
0.955685035025669,0,0,0,0.961192502813824,300.869214203398,68.0158898305085,"1979-02-11"
1.86658898273767,0.00330084748960779,0,0.00329796742584746,2.32544772907839,301.749456114688,65.031779661017,"1979-02-12"
3.17019776166496,0.097277119882026,0,0.0972621077198093,9.00039828025688,305.213111230883,54.4364406779661,"1979-02-13"
3.23214688240472,15.5969585079258,1.22386453919492,14.3732351529396,26.3976088701668,322.647897494041,40.3432203389831,"1979-02-14"
-1.0057450434414,0.815670333423857,0.140858278436176,0.674827446371822,0.00184191687632415,335.730174436408,39.8072033898305,"1979-02-15"
-2.17047316543127,0.0243110165505086,0.0199336682335805,0.0044017727092161,0.114418159096928,335.565872968253,39.5275423728814,"1979-02-16"
-1.16133121767287,0,0,0,0.000716904462394068,335.472539869405,38.7902542372881,"1979-02-17"
-0.58422314129391,0.0113991524755828,0.00978838387182203,0.00161381091101695,0.46868068889036,335.318381099378,37.7330508474576,"1979-02-18"
0.654646887870158,1.07093050722348,0.617247500662076,0.453712592690678,0.801576258772511,335.720903299623,37.2838983050847,"1979-02-19"
-1.9421417648762,0.423862718045712,0.375185174457097,0.0486657094147246,0.000481039790783898,336.194704217426,37.3516949152542,"1979-02-20"
